codCustomer;orderNumber;orderToCollect;Reference;Size (US);quantity (units);creationDate;waveNumber;operator
C0000016            ;124438;8;8N10W9;9;6;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;7;2T1DJM;13;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;6;QVFB0Q;105;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;5;W25EZN;13;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;4;W25EZN;11;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;3;0LNUOV;10;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;2;0LNUOV;85;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124438;1;TNAHD4;10;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124437;3;J3FI7N;11;1;19/10/2023 07:18;43175;Operator_1
C0000016            ;124437;1;05W6TK;95;7;19/10/2023 07:18;43175;Operator_1
C0000016            ;124437;2;M8W7TS;85;3;19/10/2023 07:18;43174;Operator_2
C0000016            ;124437;1;05W6TK;95;5;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;16;7BU1V7;105;1;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;15;XUZJ74;11;2;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;14;XUZJ74;105;2;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;13;WH1BJI;9;1;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;12;CD1NU9;13;2;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;9;W25EZN;11;1;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;7;PP9DNA;105;3;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;6;QTMT7N;10;1;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;4;JUUL5B;9;1;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;2;AX7BJ8;11;2;19/10/2023 07:18;43174;Operator_2
C0000016            ;124436;19;EO69NY;11;12;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;18;EO69NY;8;12;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;17;HCMI82;12;12;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;11;CD1NU9;85;3;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;10;CD1NU9;8;3;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;8;8D9SAW;9;4;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;5;QTMT7N;8;3;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;4;JUUL5B;9;2;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;3;JUUL5B;6;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124436;1;ASG1IT;6;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;16;7BU1V7;11;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;15;7BU1V7;8;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;14;2OAVPY;11;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;13;SMMRK3;14;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;12;SMMRK3;105;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;11;SMMRK3;10;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;4;JUUL5B;13;1;19/10/2023 07:18;43173;Operator_3
C0000016            ;124435;10;5HQR89;85;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;9;8D9SAW;10;2;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;8;LXJQVG;5;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;7;70EPUK;85;2;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;6;70EPUK;75;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;5;1D2ILZ;85;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;3;XPZSZ1;12;2;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;2;XPZSZ1;8;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124435;1;HOUGRO;6;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124434;5;YXGRMP;16;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124434;4;YXGRMP;12;10;19/10/2023 07:18;43172;Operator_3
C0000016            ;124434;3;YXGRMP;11;1;19/10/2023 07:18;43172;Operator_3
C0000016            ;124434;3;YXGRMP;11;5;19/10/2023 07:18;43171;Operator_3
C0000016            ;124434;2;YXGRMP;10;2;19/10/2023 07:18;43171;Operator_3
C0000016            ;124434;1;YXGRMP;8;11;19/10/2023 07:18;43171;Operator_3
C0000016            ;124433;1;D8AMD3;85;6;19/10/2023 07:18;43171;Operator_3
C0000016            ;124432;1;QXS5D1;9;2;19/10/2023 07:18;43170;Operator_3
C0000016            ;124431;1;1D2ILZ;9;6;19/10/2023 07:18;43170;Operator_3
C0000016            ;124430;1;QXS5D1;65;3;19/10/2023 07:18;43170;Operator_3
C0000016            ;124429;1;YKQY4X;9;2;19/10/2023 07:18;43170;Operator_3
C0000016            ;124428;2;QXS5D1;10;1;19/10/2023 07:18;43170;Operator_3
C0000016            ;124428;1;QXS5D1;95;1;19/10/2023 07:18;43170;Operator_3
C0000016            ;124427;1;IPGA7X;9;3;19/10/2023 07:18;43170;Operator_3
C0000016            ;124426;1;QXS5D1;65;2;19/10/2023 07:18;43170;Operator_3
C0000016            ;124425;1;1D2ILZ;6;1;19/10/2023 07:18;43170;Operator_3
C0000016            ;124424;1;QXS5D1;9;2;19/10/2023 07:18;43170;Operator_3
C0000016            ;124423;1;H51IVV;11;1;19/10/2023 07:18;43170;Operator_3
C0000701            ;124422;1;SMMRK3;9;2;19/10/2023 07:16;43169;Operator_3
C0000692            ;124421;4;AKP0A7;11;1;19/10/2023 07:16;43169;Operator_3
C0000692            ;124421;3;AKP0A7;95;1;19/10/2023 07:16;43169;Operator_3
C0000692            ;124421;2;AKP0A7;85;1;19/10/2023 07:16;43169;Operator_3
C0000692            ;124421;1;Z8KPP8;9;1;19/10/2023 07:16;43169;Operator_3
C0000639            ;124420;1;W25EZN;85;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;8;TNAHD4;11;3;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;7;TNAHD4;105;2;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;6;TNAHD4;10;2;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;5;TNAHD4;95;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;4;TNAHD4;9;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;3;TNAHD4;85;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;2;TNAHD4;8;1;19/10/2023 07:16;43169;Operator_3
C0000574            ;124419;1;TNAHD4;7;1;19/10/2023 07:16;43169;Operator_3
C0000568            ;124418;1;RUUOCB;105;1;19/10/2023 07:16;43169;Operator_3
C0000559            ;124417;1;O7AXAK;12;1;19/10/2023 07:16;43169;Operator_3
C0000559            ;124416;1;05W6TK;9;6;19/10/2023 07:16;43168;Operator_3
C0000559            ;124415;1;05W6TK;10;1;19/10/2023 07:16;43168;Operator_3
C0000494            ;124414;1;8N10W9;8;2;19/10/2023 07:16;43168;Operator_3
C0000467            ;124413;1;YE890X;12;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;12;2OAVPY;11;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;11;SMMRK3;10;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;10;SMMRK3;9;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;9;8N10W9;13;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;8;8N10W9;8;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;7;NM6C73;13;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;6;LXJQVG;7;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;5;WRRW1W;11;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;4;WRRW1W;10;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;3;JEGRCL;13;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;2;JEGRCL;10;1;19/10/2023 07:16;43168;Operator_3
C0000458            ;124412;1;JEGRCL;8;1;19/10/2023 07:16;43168;Operator_3
C0000414            ;124411;2;E5CISL;10;1;19/10/2023 07:16;43168;Operator_3
C0000414            ;124411;1;E5CISL;9;1;19/10/2023 07:16;43168;Operator_3
C0000386            ;124410;1;O9YFO8;12;1;19/10/2023 07:16;43167;Operator_1
C0000341            ;124409;2;CU53FM;12;1;19/10/2023 07:16;43167;Operator_1
