waveNumber;reference;Size (US);quantityToPick (units);locations;operator
43175;8N10W9;9.0;1;H-06-13     ;Operator_1
43175;8N10W9;9.0;1;H-06-13     ;Operator_1
43175;8N10W9;9.0;1;H-06-13     ;Operator_1
43175;8N10W9;9.0;1;H-06-13     ;Operator_1
43175;8N10W9;9.0;1;H-06-13     ;Operator_1
43175;8N10W9;9.0;1;H-06-13     ;Operator_1
43175;2T1DJM;13.0;1;I-18-23     ;Operator_1
43175;W25EZN;13.0;1;L-24-13     ;Operator_1
43175;W25EZN;11.0;1;L-24-12     ;Operator_1
43175;J3FI7N;11.0;1;N-16-12     ;Operator_1
43175;0LNUOV;8.5;1;N-03-23     ;Operator_1
43175;0LNUOV;10.0;1;N-05-22     ;Operator_1
43175;TNAHD4;10.0;1;K-07-21     ;Operator_1
43175;QVFB0Q;10.5;1;K-10-12     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43175;05W6TK;9.5;1;J-07-21     ;Operator_1
43174;XUZJ74;11.0;1;K-18-12     ;Operator_2
43174;XUZJ74;11.0;1;K-18-12     ;Operator_2
43174;XUZJ74;10.5;1;K-18-21     ;Operator_2
43174;XUZJ74;10.5;1;K-18-21     ;Operator_2
43174;05W6TK;9.5;1;J-07-21     ;Operator_2
43174;05W6TK;9.5;1;J-07-21     ;Operator_2
43174;05W6TK;9.5;1;J-07-21     ;Operator_2
43174;05W6TK;9.5;1;J-07-21     ;Operator_2
43174;05W6TK;9.5;1;J-07-21     ;Operator_2
43174;7BU1V7;10.5;1;M-20-22     ;Operator_2
43174;QTMT7N;10.0;1;Q-07-11     ;Operator_2
43174;PP9DNA;10.5;1;O-23-22     ;Operator_2
43174;PP9DNA;10.5;1;O-23-22     ;Operator_2
43174;PP9DNA;10.5;1;P-02-11     ;Operator_2
43174;JUUL5B;9.0;1;P-18-21     ;Operator_2
43174;AX7BJ8;11.0;1;O-03-23     ;Operator_2
43174;AX7BJ8;11.0;1;O-03-23     ;Operator_2
43174;M8W7TS;8.5;1;O-13-22     ;Operator_2
43174;M8W7TS;8.5;1;O-13-22     ;Operator_2
43174;M8W7TS;8.5;1;O-13-22     ;Operator_2
43174;WH1BJI;9.0;1;M-22-13     ;Operator_2
43174;CD1NU9;13.0;1;M-23-23     ;Operator_2
43174;CD1NU9;13.0;1;M-23-23     ;Operator_2
43174;W25EZN;11.0;1;L-24-12     ;Operator_2
43173;QTMT7N;8.0;1;Q-07-22     ;Operator_3
43173;QTMT7N;8.0;1;Q-07-22     ;Operator_3
43173;QTMT7N;8.0;1;Q-07-22     ;Operator_3
43173;JUUL5B;6.0;1;O-08-13     ;Operator_3
43173;JUUL5B;13.0;1;P-17-21     ;Operator_3
43173;JUUL5B;9.0;1;P-18-21     ;Operator_3
43173;JUUL5B;9.0;1;P-18-21     ;Operator_3
43173;ASG1IT;6.0;1;P-19-21     ;Operator_3
43173;7BU1V7;8.0;1;M-18-12     ;Operator_3
43173;CD1NU9;8.5;1;M-21-23     ;Operator_3
43173;CD1NU9;8.5;1;M-21-23     ;Operator_3
43173;CD1NU9;8.5;1;M-21-23     ;Operator_3
43173;CD1NU9;8.0;1;M-21-12     ;Operator_3
43173;CD1NU9;8.0;1;M-21-12     ;Operator_3
43173;CD1NU9;8.0;1;M-21-12     ;Operator_3
43173;7BU1V7;11.0;1;M-20-12     ;Operator_3
43173;2OAVPY;11.0;1;K-09-21     ;Operator_3
43173;SMMRK3;10.0;1;I-23-21     ;Operator_3
43173;8D9SAW;9.0;1;I-15-22     ;Operator_3
43173;8D9SAW;9.0;1;I-15-22     ;Operator_3
43173;8D9SAW;9.0;1;I-15-22     ;Operator_3
43173;8D9SAW;9.0;1;I-15-22     ;Operator_3
43173;SMMRK3;14.0;1;I-23-13     ;Operator_3
43173;SMMRK3;10.5;1;I-23-22     ;Operator_3
43172;HOUGRO;6.0;1;L-09-21     ;Operator_3
43172;5HQR89;8.5;1;N-02-22     ;Operator_3
43172;70EPUK;7.5;1;O-01-21     ;Operator_3
43172;YXGRMP;12.0;1;P-02-13     ;Operator_3
43172;YXGRMP;12.0;1;P-02-13     ;Operator_3
43172;YXGRMP;12.0;1;P-02-13     ;Operator_3
43172;YXGRMP;12.0;1;P-02-13     ;Operator_3
43172;YXGRMP;12.0;1;P-04-21     ;Operator_3
43172;YXGRMP;12.0;1;P-04-21     ;Operator_3
43172;YXGRMP;12.0;1;P-04-21     ;Operator_3
43172;YXGRMP;12.0;1;P-04-21     ;Operator_3
43172;YXGRMP;12.0;1;P-04-21     ;Operator_3
43172;YXGRMP;12.0;1;P-04-21     ;Operator_3
43172;70EPUK;8.5;1;O-23-22     ;Operator_3
43172;YXGRMP;11.0;1;P-13-11     ;Operator_3
43172;70EPUK;8.5;1;P-21-21     ;Operator_3
43172;1D2ILZ;8.5;1;O-15-13     ;Operator_3
43172;XPZSZ1;12.0;1;O-18-11     ;Operator_3
43172;XPZSZ1;12.0;1;O-18-11     ;Operator_3
43172;XPZSZ1;8.0;1;O-18-11     ;Operator_3
43172;YXGRMP;16.0;1;O-23-13     ;Operator_3
43172;LXJQVG;5.0;1;J-20-21     ;Operator_3
43172;8D9SAW;10.0;1;I-17-11     ;Operator_3
