node_id,x_m,y_m,location_count,pick_tasks,pick_units,task_share,unit_share
AISLE:x=0.860000:y=-0.290000,0.86,-0.29,2,0,0.0,0.0,0.0
AISLE:x=0.860000:y=0.610000,0.86,0.61,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=1.510000,0.86,1.51,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=10.210000,0.86,10.21,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=11.110000,0.86,11.11,4,6,6.0,0.003006012024048096,0.003006012024048096
AISLE:x=0.860000:y=12.010000,0.86,12.01,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=0.860000:y=12.910000,0.86,12.91,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=0.860000:y=13.810000,0.86,13.81,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=14.710000,0.86,14.71,2,0,0.0,0.0,0.0
AISLE:x=0.860000:y=2.410000,0.86,2.41,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=3.310000,0.86,3.31,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=4.210000,0.86,4.21,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=5.110000,0.86,5.11,4,0,0.0,0.0,0.0
AISLE:x=0.860000:y=6.310000,0.86,6.31,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=0.860000:y=7.510000,0.86,7.51,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=0.860000:y=8.410000,0.86,8.41,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=0.860000:y=9.310000,0.86,9.31,4,12,12.0,0.006012024048096192,0.006012024048096192
AISLE:x=1.020000:y=-0.290000,1.02,-0.29,4,0,0.0,0.0,0.0
AISLE:x=1.020000:y=0.610000,1.02,0.61,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=1.510000,1.02,1.51,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=10.210000,1.02,10.21,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=11.110000,1.02,11.11,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=12.010000,1.02,12.01,8,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=1.020000:y=12.910000,1.02,12.91,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=1.020000:y=13.810000,1.02,13.81,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=1.020000:y=14.710000,1.02,14.71,4,0,0.0,0.0,0.0
AISLE:x=1.020000:y=2.410000,1.02,2.41,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=3.310000,1.02,3.31,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=4.210000,1.02,4.21,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=5.110000,1.02,5.11,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=6.310000,1.02,6.31,8,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=1.020000:y=7.510000,1.02,7.51,8,0,0.0,0.0,0.0
AISLE:x=1.020000:y=8.410000,1.02,8.41,8,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=1.020000:y=9.310000,1.02,9.31,8,18,18.0,0.009018036072144289,0.009018036072144289
AISLE:x=1.180000:y=-0.290000,1.18,-0.29,2,0,0.0,0.0,0.0
AISLE:x=1.180000:y=0.610000,1.18,0.61,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=1.510000,1.18,1.51,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=10.210000,1.18,10.21,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=11.110000,1.18,11.11,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=1.180000:y=12.010000,1.18,12.01,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=12.910000,1.18,12.91,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=1.180000:y=13.810000,1.18,13.81,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=14.710000,1.18,14.71,2,0,0.0,0.0,0.0
AISLE:x=1.180000:y=2.410000,1.18,2.41,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=3.310000,1.18,3.31,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=4.210000,1.18,4.21,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=5.110000,1.18,5.11,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=6.310000,1.18,6.31,4,2,2.0,0.001002004008016032,0.001002004008016032
AISLE:x=1.180000:y=7.510000,1.18,7.51,4,0,0.0,0.0,0.0
AISLE:x=1.180000:y=8.410000,1.18,8.41,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=1.180000:y=9.310000,1.18,9.31,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=1.360000:y=-0.290000,1.36,-0.29,2,0,0.0,0.0,0.0
AISLE:x=1.360000:y=0.610000,1.36,0.61,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=1.510000,1.36,1.51,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=10.210000,1.36,10.21,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=1.360000:y=11.110000,1.36,11.11,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=1.360000:y=12.010000,1.36,12.01,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=1.360000:y=12.910000,1.36,12.91,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=1.360000:y=13.810000,1.36,13.81,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=14.710000,1.36,14.71,2,0,0.0,0.0,0.0
AISLE:x=1.360000:y=2.410000,1.36,2.41,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=3.310000,1.36,3.31,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=4.210000,1.36,4.21,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=5.110000,1.36,5.11,4,0,0.0,0.0,0.0
AISLE:x=1.360000:y=6.310000,1.36,6.31,4,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=1.360000:y=7.510000,1.36,7.51,4,1,1.0,0.000501002004008016,0.000501002004008016
AISLE:x=1.360000:y=8.410000,1.36,8.41,4,2,2.0,0.001002004008016032,0.001002004008016032
