wave_number,operator,released_at_seconds,started_at_seconds,finished_at_seconds,release_delay_seconds,pick_tasks
33168,Operator_02,0.0,0.0,140.58333333333385,0.0,24
33169,Operator_08,0.0,0.0,113.28333333333367,0.0,24
33171,Operator_04,0.0,0.0,118.28333333333367,0.0,24
33172,Operator_19,0.0,0.0,125.78333333333367,0.0,24
33173,Operator_14,0.0,0.0,107.1166666666669,0.0,24
33174,Operator_17,0.0,0.0,93.63333333333352,0.0,24
33183,Operator_18,60.0,60.0,195.86666666666665,0.0,24
33190,Operator_06,60.0,60.0,179.10000000000016,0.0,24
33185,Operator_17,60.0,93.63333333333352,217.0,33.633333333333525,24
33175,Operator_14,0.0,107.1166666666669,223.0,107.1166666666669,24
33170,Operator_08,0.0,113.28333333333367,236.63333333333352,113.28333333333367,23
33192,Operator_04,60.0,118.28333333333367,254.25000000000009,58.28333333333367,24
33176,Operator_19,0.0,125.78333333333367,226.63333333333352,125.78333333333367,24
33179,Operator_02,60.0,140.58333333333385,263.38333333333304,80.58333333333385,24
33207,Operator_06,120.0,179.10000000000016,298.1833333333331,59.100000000000165,24
33198,Operator_18,60.0,195.86666666666665,304.5499999999998,135.86666666666665,24
33188,Operator_17,60.0,217.0,320.63333333333304,157.0,24
33178,Operator_14,0.0,223.0,315.4333333333331,223.0,17
33181,Operator_19,60.0,226.63333333333352,353.9166666666655,166.63333333333352,24
33177,Operator_08,0.0,236.63333333333352,333.7000000000002,236.63333333333352,24
33199,Operator_04,60.0,254.25000000000009,366.9166666666655,194.25000000000009,24
33182,Operator_02,60.0,263.38333333333304,406.6499999999991,203.38333333333304,24
33210,Operator_06,120.0,298.1833333333331,405.1499999999991,178.1833333333331,24
33180,Operator_14,60.0,315.4333333333331,433.51666666666546,255.4333333333331,24
33196,Operator_17,60.0,320.63333333333304,441.01666666666546,260.63333333333304,24
33184,Operator_19,60.0,353.9166666666655,480.7999999999982,293.9166666666655,24
33213,Operator_06,120.0,405.1499999999991,507.86666666666514,285.1499999999991,24
33186,Operator_02,60.0,406.6499999999991,530.3333333333313,346.6499999999991,24
33191,Operator_14,60.0,433.51666666666546,515.749999999998,373.51666666666546,14
33200,Operator_17,60.0,441.01666666666546,544.8333333333313,381.01666666666546,22
33187,Operator_19,60.0,480.7999999999982,613.4666666666626,420.7999999999982,24
33215,Operator_06,120.0,507.86666666666514,624.6666666666639,387.86666666666514,24
33195,Operator_14,60.0,515.749999999998,637.1833333333306,455.74999999999795,24
33189,Operator_02,60.0,530.3333333333313,634.1833333333306,470.3333333333313,24
33208,Operator_17,120.0,544.8333333333313,667.833333333329,424.8333333333313,24
