cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers
EDGE:AISLE:x=10.236200:y=16.027400<->AISLE:x=9.347200:y=16.027400,edge,38,6,28.151666666665626,28.151666666665626,0.0,0.0,28.151666666665626,0.0,1
EDGE:AISLE:x=10.236200:y=19.075400<->AISLE:x=9.347200:y=19.075400,edge,36,6,26.669999999998623,26.669999999998623,0.0,0.0,26.669999999998623,0.0,1
EDGE:AISLE:x=10.236200:y=21.361400<->AISLE:x=9.347200:y=21.361400,edge,85,8,62.970833333330866,62.970833333330866,0.0,0.0,62.970833333330866,0.0,1
EDGE:AISLE:x=10.236200:y=23.647400<->AISLE:x=9.347200:y=23.647400,edge,68,8,50.37666666666412,50.37666666666412,0.0,0.0,50.37666666666412,0.0,1
EDGE:AISLE:x=10.236200:y=25.933400<->AISLE:x=9.347200:y=25.933400,edge,88,8,65.19333333332989,65.19333333332989,0.0,0.0,65.19333333332989,0.0,1
EDGE:AISLE:x=10.236200:y=28.219400<->AISLE:x=9.347200:y=28.219400,edge,57,8,42.227499999998315,42.227499999998315,0.0,0.0,42.227499999998315,0.0,1
EDGE:AISLE:x=10.236200:y=30.505400<->AISLE:x=9.347200:y=30.505400,edge,80,8,59.266666666664705,59.266666666664705,0.0,0.0,59.266666666664705,0.0,1
EDGE:AISLE:x=10.236200:y=32.791400<->AISLE:x=9.347200:y=32.791400,edge,73,8,54.08083333333093,54.08083333333093,0.0,0.0,54.08083333333093,0.0,1
EDGE:AISLE:x=10.236200:y=32.791400<->SUP:CC-15,edge,2,2,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0,1
EDGE:AISLE:x=10.236200:y=35.077400<->AISLE:x=9.347200:y=35.077400,edge,49,6,36.300833333331525,36.300833333331525,0.0,0.0,36.300833333331525,0.0,1
EDGE:AISLE:x=10.236200:y=37.363400<->AISLE:x=9.347200:y=37.363400,edge,2,1,1.4816666666665697,1.4816666666665697,0.0,0.0,1.4816666666665697,0.0,1
EDGE:AISLE:x=11.023600:y=16.027400<->AISLE:x=11.430000:y=16.027400,edge,14,3,4.741333333333009,4.74133333333301,0.0,0.0,4.741333333333009,0.0,1
EDGE:AISLE:x=11.023600:y=16.027400<->SUP:CC-08,edge,14,3,9.186333333335067,9.186333333335067,0.0,0.0,9.186333333335067,0.0,1
EDGE:AISLE:x=11.023600:y=19.075400<->AISLE:x=11.430000:y=19.075400,edge,53,6,17.94933333332881,17.94933333332881,0.0,0.0,17.94933333332881,0.0,1
EDGE:AISLE:x=11.023600:y=19.075400<->SUP:CC-09,edge,63,6,41.33850000003994,41.33850000003994,0.0,0.0,41.33850000003994,0.0,1
EDGE:AISLE:x=11.023600:y=21.361400<->AISLE:x=11.430000:y=21.361400,edge,66,8,22.351999999996224,22.351999999996224,0.0,0.0,22.351999999996224,0.0,1
EDGE:AISLE:x=11.023600:y=21.361400<->SUP:CC-10,edge,90,8,59.05500000003872,59.05500000003872,0.0,0.0,59.05500000003872,0.0,1
EDGE:AISLE:x=11.023600:y=23.647400<->AISLE:x=11.430000:y=23.647400,edge,20,7,6.773333333332403,6.773333333332403,0.0,0.0,6.773333333332403,0.0,1
EDGE:AISLE:x=11.023600:y=23.647400<->SUP:CC-11,edge,32,7,20.997333333342,20.997333333342,0.0,0.0,20.997333333342,0.0,1
EDGE:AISLE:x=11.023600:y=25.933400<->AISLE:x=11.430000:y=25.933400,edge,23,6,7.789333333332024,7.789333333332024,0.0,0.0,7.789333333332024,0.0,1
EDGE:AISLE:x=11.023600:y=25.933400<->SUP:CC-12,edge,23,6,15.091833333343061,15.091833333343061,0.0,0.0,15.091833333343061,0.0,1
EDGE:AISLE:x=11.023600:y=28.219400<->AISLE:x=11.430000:y=28.219400,edge,111,8,37.59199999999337,37.59199999999337,0.0,0.0,37.59199999999337,0.0,1
EDGE:AISLE:x=11.023600:y=28.219400<->SUP:CC-13,edge,113,8,74.1468333333863,74.1468333333863,0.0,0.0,74.1468333333863,0.0,1
EDGE:AISLE:x=11.023600:y=30.505400<->AISLE:x=11.430000:y=30.505400,edge,36,6,12.19199999999833,12.19199999999833,0.0,0.0,12.19199999999833,0.0,1
EDGE:AISLE:x=11.023600:y=30.505400<->SUP:CC-14,edge,52,7,34.12066666668704,34.12066666668704,0.0,0.0,34.12066666668704,0.0,1
EDGE:AISLE:x=11.023600:y=32.791400<->AISLE:x=11.430000:y=32.791400,edge,33,6,11.17599999999858,11.17599999999858,0.0,0.0,11.17599999999858,0.0,1
EDGE:AISLE:x=11.023600:y=32.791400<->SUP:CC-15,edge,47,6,30.839833333344487,30.839833333344487,0.0,0.0,30.839833333344487,0.0,1
EDGE:AISLE:x=11.023600:y=35.077400<->AISLE:x=11.430000:y=35.077400,edge,29,8,9.82133333333185,9.82133333333185,0.0,0.0,9.82133333333185,0.0,1
EDGE:AISLE:x=11.023600:y=35.077400<->SUP:CC-16,edge,45,8,29.52750000000858,29.52750000000858,0.0,0.0,29.52750000000858,0.0,1
EDGE:AISLE:x=11.023600:y=37.363400<->AISLE:x=11.430000:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=11.023600:y=37.363400<->SUP:CC-17,edge,5,3,3.2808333333351385,3.2808333333351385,0.0,0.0,3.2808333333351385,0.0,1
EDGE:AISLE:x=11.430000:y=16.027400<->AISLE:x=11.836400:y=16.027400,edge,14,3,4.741333333333002,4.741333333333003,0.0,0.0,4.741333333333002,0.0,1
EDGE:AISLE:x=11.430000:y=19.075400<->AISLE:x=11.836400:y=19.075400,edge,53,6,17.94933333332881,17.94933333332881,0.0,0.0,17.94933333332881,0.0,1
EDGE:AISLE:x=11.430000:y=21.361400<->AISLE:x=11.836400:y=21.361400,edge,60,8,20.319999999995844,20.319999999995844,0.0,0.0,20.319999999995844,0.0,1
EDGE:AISLE:x=11.430000:y=23.647400<->AISLE:x=11.836400:y=23.647400,edge,14,6,4.7413333333320224,4.7413333333320224,0.0,0.0,4.7413333333320224,0.0,1
EDGE:AISLE:x=11.430000:y=25.933400<->AISLE:x=11.836400:y=25.933400,edge,21,6,7.111999999998943,7.111999999998943,0.0,0.0,7.111999999998943,0.0,1
EDGE:AISLE:x=11.430000:y=28.219400<->AISLE:x=11.836400:y=28.219400,edge,107,8,36.23733333332675,36.23733333332675,0.0,0.0,36.23733333332675,0.0,1
EDGE:AISLE:x=11.430000:y=30.505400<->AISLE:x=11.836400:y=30.505400,edge,36,5,12.19199999999833,12.19199999999833,0.0,0.0,12.19199999999833,0.0,1
EDGE:AISLE:x=11.430000:y=32.791400<->AISLE:x=11.836400:y=32.791400,edge,29,6,9.821333333331964,9.821333333331964,0.0,0.0,9.821333333331964,0.0,1
EDGE:AISLE:x=11.430000:y=35.077400<->AISLE:x=11.836400:y=35.077400,edge,29,8,9.821333333332078,9.821333333332078,0.0,0.0,9.821333333332078,0.0,1
EDGE:AISLE:x=11.430000:y=37.363400<->AISLE:x=11.836400:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=11.836400:y=16.027400<->AISLE:x=12.293600:y=16.027400,edge,14,3,5.333999999998753,5.333999999998753,0.0,0.0,5.333999999998753,0.0,1
EDGE:AISLE:x=11.836400:y=19.075400<->AISLE:x=12.293600:y=19.075400,edge,51,6,19.430999999979093,19.430999999979093,0.0,0.0,19.430999999979093,0.0,1
EDGE:AISLE:x=11.836400:y=21.361400<->AISLE:x=12.293600:y=21.361400,edge,54,8,20.57399999997969,20.57399999997969,0.0,0.0,20.57399999997969,0.0,1
EDGE:AISLE:x=11.836400:y=23.647400<->AISLE:x=12.293600:y=23.647400,edge,14,6,5.333999999993921,5.333999999993921,0.0,0.0,5.333999999993921,0.0,1
EDGE:AISLE:x=11.836400:y=25.933400<->AISLE:x=12.293600:y=25.933400,edge,15,6,5.714999999995882,5.714999999995882,0.0,0.0,5.714999999995882,0.0,1
EDGE:AISLE:x=11.836400:y=28.219400<->AISLE:x=12.293600:y=28.219400,edge,103,8,39.24299999996907,39.24299999996907,0.0,0.0,39.24299999996907,0.0,1
