method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
random,edge,AISLE:x=0.860000:y=8.410000<->AISLE:x=1.020000:y=8.410000,1,1,0.06666666666569654,0.06666666666569654,0.06666666666569654
random,edge,AISLE:x=2.520000:y=10.210000<->AISLE:x=2.680000:y=10.210000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207
random,edge,AISLE:x=2.860000:y=10.210000<->AISLE:x=3.020000:y=10.210000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207
random,edge,AISLE:x=3.020000:y=9.310000<->AISLE:x=3.180000:y=9.310000,1,1,0.03333333332921029,0.03333333332921029,0.03333333332921029
random,edge,AISLE:x=3.180000:y=10.210000<->AISLE:x=3.360000:y=10.210000,1,1,0.016666666666424135,0.016666666666424135,0.016666666666424135
random,edge,AISLE:x=3.180000:y=9.310000<->AISLE:x=3.360000:y=9.310000,1,1,0.10000000000002274,0.10000000000002274,0.10000000000002274
random,edge,AISLE:x=3.520000:y=12.010000<->AISLE:x=3.680000:y=12.010000,1,1,0.08333333333374071,0.08333333333374071,0.08333333333374071
random,edge,AISLE:x=3.680000:y=12.910000<->AISLE:x=4.030000:y=12.910000,2,1,0.058333333307381,0.0291666666536905,0.03333333330738242
random,edge,AISLE:x=3.680000:y=8.410000<->AISLE:x=4.030000:y=8.410000,1,1,0.2833333333334167,0.2833333333334167,0.2833333333334167
random,edge,AISLE:x=4.340000:y=12.010000<->SUP:CC-14,1,1,0.25833333333333997,0.25833333333333997,0.25833333333333997
random,edge,AISLE:x=4.500000:y=12.010000<->AISLE:x=4.660000:y=12.010000,1,1,0.11666666666681635,0.11666666666681635,0.11666666666681635
random,edge,AISLE:x=4.660000:y=11.110000<->AISLE:x=4.840000:y=11.110000,1,1,0.0833333333371229,0.0833333333371229,0.0833333333371229
random,edge,AISLE:x=5.000000:y=11.110000<->AISLE:x=5.160000:y=11.110000,1,1,0.1333333333332689,0.1333333333332689,0.1333333333332689
random,edge,SUP:CC-01<->SUP:CC-02,16,7,33.94166666666672,2.12135416666667,4.5
random,edge,SUP:CC-02<->SUP:CC-03,6,4,2.999999999984908,0.4999999999974847,0.749999999992724
random,edge,SUP:CC-03<->SUP:CC-04,3,2,0.8166666666916171,0.27222222223053905,0.41666666668243124
random,edge,SUP:CC-04<->SUP:CC-05,6,3,1.8500000000051386,0.3083333333341898,0.6000000000000227
random,edge,SUP:CC-05<->SUP:CC-06,5,3,2.383333333337987,0.4766666666675974,0.7166666666665265
random,edge,SUP:CC-06<->SUP:CC-07,3,2,1.2666666666722222,0.4222222222240741,0.7166666666665833
random,edge,SUP:CC-07<->SUP:CC-08,21,7,14.88333333332605,0.7087301587298119,1.5
random,edge,SUP:CC-08<->SUP:CC-09,9,5,4.516666666638912,0.501851851848768,0.8666666666668448
random,edge,SUP:CC-09<->SUP:CC-10,6,5,2.5833333333323054,0.4305555555553842,0.75
random,edge,SUP:CC-10<->SUP:CC-11,3,3,1.083333333339965,0.36111111111332167,0.6000000000003638
random,edge,SUP:CC-11<->SUP:CC-12,1,1,0.7166666666671517,0.7166666666671517,0.7166666666671517
random,edge,SUP:CC-12<->SUP:CC-13,4,2,1.3333333333299322,0.33333333333248305,0.749999999996362
random,edge,SUP:CC-13<->SUP:CC-14,5,3,2.391666666668229,0.4783333333336458,0.7000000000002728
random,edge,SUP:CC-14<->SUP:CC-15,3,3,0.6499999999976467,0.21666666666588222,0.40000000000037517
random,edge,SUP:LC-14<->SUP:LC-15,1,1,0.09999999999126885,0.09999999999126885,0.09999999999126885
