time_seconds,active_workers,occupied_cells,entropy_bits,entropy_normalized,max_concentration,congested_cells,workers_in_shared_cells,excess_workers,method,timestamp
0.0,7,2,0.5916727785823274,0.21075809614719845,0.8571428571428571,1,6,5,random,2023-01-05 07:42:00
5.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:05
10.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:10
15.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:15
20.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:20
25.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:25
30.0,7,6,2.521640636343318,0.8982265179691364,0.2857142857142857,1,2,1,random,2023-01-05 07:42:30
35.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:35
40.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:40
45.0,7,7,2.807354922057604,1.0,0.14285714285714285,0,0,0,random,2023-01-05 07:42:45
50.0,7,6,2.521640636343318,0.8982265179691364,0.2857142857142857,1,2,1,random,2023-01-05 07:42:50
55.0,7,6,2.521640636343318,0.8982265179691364,0.2857142857142857,1,2,1,random,2023-01-05 07:42:55
60.0,8,8,3.0,1.0,0.125,0,0,0,random,2023-01-05 07:43:00
65.0,8,8,3.0,1.0,0.125,0,0,0,random,2023-01-05 07:43:05
70.0,8,8,3.0,1.0,0.125,0,0,0,random,2023-01-05 07:43:10
75.0,8,8,3.0,1.0,0.125,0,0,0,random,2023-01-05 07:43:15
80.0,8,7,2.75,0.9166666666666666,0.25,1,2,1,random,2023-01-05 07:43:20
85.0,8,7,2.75,0.9166666666666666,0.25,1,2,1,random,2023-01-05 07:43:25
90.0,8,7,2.75,0.9166666666666666,0.25,1,2,1,random,2023-01-05 07:43:30
95.0,7,6,2.521640636343318,0.8982265179691364,0.2857142857142857,1,2,1,random,2023-01-05 07:43:35
100.0,7,6,2.521640636343318,0.8982265179691364,0.2857142857142857,1,2,1,random,2023-01-05 07:43:40
105.0,6,5,2.2516291673878226,0.8710490642551527,0.3333333333333333,1,2,1,random,2023-01-05 07:43:45
110.0,6,5,2.2516291673878226,0.8710490642551527,0.3333333333333333,1,2,1,random,2023-01-05 07:43:50
115.0,6,6,2.584962500721156,1.0,0.16666666666666666,0,0,0,random,2023-01-05 07:43:55
120.0,6,6,2.584962500721156,1.0,0.16666666666666666,0,0,0,random,2023-01-05 07:44:00
125.0,6,6,2.584962500721156,1.0,0.16666666666666666,0,0,0,random,2023-01-05 07:44:05
130.0,6,6,2.584962500721156,1.0,0.16666666666666666,0,0,0,random,2023-01-05 07:44:10
