list_index,wave_number,original_operator,zone_id,pick_tasks,pick_units,physical_zone_count,physical_microzone_count,dominant_zone_tasks,dominant_zone_units
0,33168,Operator_02,Z02,24,24.0,4,13,8,8.0
1,33169,Operator_08,Z02,24,24.0,3,9,9,9.0
2,33170,Operator_08,Z04,23,23.0,4,8,8,8.0
3,33171,Operator_04,Z01,24,24.0,4,5,10,10.0
4,33172,Operator_19,Z01,24,24.0,4,7,19,19.0
5,33173,Operator_14,Z03,24,24.0,3,3,13,13.0
6,33174,Operator_17,Z03,24,24.0,2,2,19,19.0
7,33175,Operator_14,Z04,24,24.0,3,5,12,12.0
8,33176,Operator_19,Z02,24,24.0,2,3,15,15.0
9,33177,Operator_08,Z04,24,24.0,3,4,12,12.0
10,33178,Operator_14,Z03,17,17.0,4,8,9,9.0
11,33179,Operator_02,Z01,24,24.0,3,6,20,20.0
12,33180,Operator_14,Z04,24,24.0,4,6,9,9.0
13,33181,Operator_19,Z03,24,24.0,4,12,8,8.0
14,33182,Operator_02,Z01,24,24.0,4,14,9,9.0
15,33183,Operator_18,Z02,24,24.0,4,13,8,8.0
16,33184,Operator_19,Z03,24,24.0,4,11,9,9.0
17,33185,Operator_17,Z04,24,24.0,4,10,8,8.0
18,33186,Operator_02,Z01,24,24.0,4,6,9,9.0
19,33187,Operator_19,Z02,24,24.0,4,12,8,8.0
20,33188,Operator_17,Z01,24,24.0,3,6,17,17.0
21,33189,Operator_02,Z01,24,24.0,4,7,13,13.0
22,33190,Operator_06,Z01,24,24.0,4,9,9,9.0
23,33191,Operator_14,Z02,14,14.0,4,7,9,9.0
24,33192,Operator_04,Z01,24,24.0,4,12,7,7.0
25,33193,Operator_02,Z02,24,24.0,4,11,12,12.0
26,33195,Operator_14,Z02,24,24.0,3,6,17,17.0
27,33196,Operator_17,Z02,24,24.0,4,8,11,11.0
28,33197,Operator_19,Z02,24,24.0,3,7,10,10.0
29,33198,Operator_18,Z02,24,24.0,3,5,17,17.0
30,33199,Operator_04,Z02,24,24.0,3,7,19,19.0
31,33200,Operator_17,Z02,22,22.0,3,7,18,18.0
32,33203,Operator_19,Z01,24,24.0,4,9,9,9.0
33,33204,Operator_14,Z04,24,24.0,4,10,11,11.0
34,33205,Operator_02,Z04,24,24.0,4,6,12,12.0
35,33207,Operator_06,Z02,24,24.0,3,5,16,16.0
36,33208,Operator_17,Z04,24,24.0,4,11,10,10.0
37,33209,Operator_14,Z01,24,24.0,4,6,13,13.0
38,33210,Operator_06,Z01,24,24.0,3,4,18,18.0
39,33211,Operator_19,Z04,24,24.0,3,3,14,14.0
40,33212,Operator_02,Z01,24,24.0,3,5,15,15.0
41,33213,Operator_06,Z04,24,24.0,2,2,21,21.0
42,33214,Operator_14,Z01,24,24.0,4,7,10,10.0
43,33215,Operator_06,Z04,24,24.0,4,8,13,13.0
44,33217,Operator_17,Z01,20,20.0,4,8,11,11.0
45,33220,Operator_18,Z02,19,19.0,4,8,6,6.0
46,33221,Operator_02,Z03,24,24.0,4,8,7,7.0
47,33222,Operator_19,Z03,24,24.0,4,10,9,9.0
48,33223,Operator_19,Z01,24,24.0,3,6,12,12.0
49,33225,Operator_02,Z01,24,24.0,4,11,11,11.0
50,33226,Operator_17,Z01,24,24.0,4,8,10,10.0
51,33227,Operator_17,Z01,24,24.0,4,7,17,17.0
52,33228,Operator_18,Z01,24,24.0,4,7,9,9.0
53,33229,Operator_14,Z01,24,24.0,3,7,19,19.0
54,33230,Operator_18,Z01,24,24.0,3,5,16,16.0
55,33231,Operator_19,Z01,24,24.0,3,5,17,17.0
56,33232,Operator_19,Z01,24,24.0,3,5,16,16.0
57,33233,Operator_14,Z01,24,24.0,4,8,13,13.0
58,33234,Operator_02,Z04,24,24.0,4,8,12,12.0
59,33235,Operator_18,Z03,24,24.0,4,9,12,12.0
60,33236,Operator_19,Z01,24,24.0,4,11,8,8.0
61,33237,Operator_14,Z01,24,24.0,4,8,9,9.0
62,33238,Operator_02,Z02,26,26.0,4,8,15,15.0
63,33239,Operator_18,Z01,24,24.0,3,4,21,21.0
64,33240,Operator_14,Z01,24,24.0,1,2,24,24.0
65,33241,Operator_19,Z01,24,24.0,4,8,6,6.0
66,33242,Operator_14,Z02,24,24.0,4,8,15,15.0
67,33243,Operator_19,Z01,24,24.0,4,11,11,11.0
68,33244,Operator_18,Z01,24,24.0,1,3,24,24.0
69,33245,Operator_02,Z01,22,22.0,3,3,20,20.0
70,33246,Operator_18,Z01,24,24.0,4,11,11,11.0
71,33247,Operator_14,Z04,24,24.0,4,11,15,15.0
72,33248,Operator_02,Z04,24,24.0,3,3,22,22.0
73,33249,Operator_19,Z04,24,24.0,4,8,12,12.0
74,33250,Operator_02,Z04,24,24.0,4,9,16,16.0
75,33251,Operator_14,Z04,24,24.0,4,6,10,10.0
76,33252,Operator_18,Z04,24,24.0,4,6,14,14.0
77,33253,Operator_02,Z04,24,24.0,3,4,12,12.0
78,33254,Operator_02,Z03,24,24.0,4,6,10,10.0
79,33255,Operator_02,Z04,24,24.0,3,3,14,14.0
80,33256,Operator_02,Z03,24,24.0,3,5,13,13.0
81,33257,Operator_18,Z04,24,24.0,4,5,14,14.0
82,33258,Operator_02,Z03,21,21.0,4,6,11,11.0
83,33259,Operator_18,Z02,24,24.0,4,10,8,8.0
84,33262,Operator_19,Z01,12,12.0,4,8,4,4.0
