method,wave_number,original_operator,assigned_zone,assigned_worker,released_at_seconds,started_at_seconds,finished_at_seconds,release_delay_seconds,pick_tasks,pick_units,physical_zone_count
baseline,33168,Operator_02,Z03,Operator_02,0.0,0.0,140.58333333333385,0.0,24,24.0,3
baseline,33169,Operator_08,Z03,Operator_08,0.0,0.0,113.28333333333367,0.0,24,24.0,3
baseline,33171,Operator_04,Z03,Operator_04,0.0,0.0,118.28333333333367,0.0,24,24.0,2
baseline,33172,Operator_19,Z03,Operator_19,0.0,0.0,125.78333333333367,0.0,24,24.0,3
baseline,33173,Operator_14,Z02,Operator_14,0.0,0.0,107.1166666666669,0.0,24,24.0,2
baseline,33174,Operator_17,Z02,Operator_17,0.0,0.0,93.63333333333352,0.0,24,24.0,1
baseline,33183,Operator_18,Z03,Operator_18,60.0,60.0,195.86666666666665,0.0,24,24.0,3
baseline,33190,Operator_06,Z03,Operator_06,60.0,60.0,179.10000000000016,0.0,24,24.0,2
baseline,33185,Operator_17,Z03,Operator_17,60.0,93.63333333333352,217.0,33.633333333333525,24,24.0,3
baseline,33175,Operator_14,Z04,Operator_14,0.0,107.1166666666669,223.0,107.1166666666669,24,24.0,3
baseline,33170,Operator_08,Z03,Operator_08,0.0,113.28333333333367,236.63333333333352,113.28333333333367,23,23.0,2
baseline,33192,Operator_04,Z03,Operator_04,60.0,118.28333333333367,254.25000000000009,58.28333333333367,24,24.0,3
baseline,33176,Operator_19,Z04,Operator_19,0.0,125.78333333333367,226.63333333333352,125.78333333333367,24,24.0,2
baseline,33179,Operator_02,Z02,Operator_02,60.0,140.58333333333385,263.38333333333304,80.58333333333385,24,24.0,3
baseline,33207,Operator_06,Z04,Operator_06,120.0,179.10000000000016,298.1833333333331,59.100000000000165,24,24.0,3
baseline,33198,Operator_18,Z04,Operator_18,60.0,195.86666666666665,304.5499999999998,135.86666666666665,24,24.0,2
baseline,33188,Operator_17,Z03,Operator_17,60.0,217.0,320.63333333333304,157.0,24,24.0,2
baseline,33178,Operator_14,Z03,Operator_14,0.0,223.0,315.4333333333331,223.0,17,17.0,3
baseline,33181,Operator_19,Z03,Operator_19,60.0,226.63333333333352,353.9166666666655,166.63333333333352,24,24.0,3
baseline,33177,Operator_08,Z04,Operator_08,0.0,236.63333333333352,333.7000000000002,236.63333333333352,24,24.0,2
baseline,33199,Operator_04,Z04,Operator_04,60.0,254.25000000000009,366.9166666666655,194.25000000000009,24,24.0,2
baseline,33182,Operator_02,Z03,Operator_02,60.0,263.38333333333304,406.6499999999991,203.38333333333304,24,24.0,3
baseline,33210,Operator_06,Z03,Operator_06,120.0,298.1833333333331,405.1499999999991,178.1833333333331,24,24.0,1
baseline,33180,Operator_14,Z03,Operator_14,60.0,315.4333333333331,433.51666666666546,255.4333333333331,24,24.0,3
baseline,33196,Operator_17,Z04,Operator_17,60.0,320.63333333333304,441.01666666666546,260.63333333333304,24,24.0,3
baseline,33184,Operator_19,Z03,Operator_19,60.0,353.9166666666655,480.7999999999982,293.9166666666655,24,24.0,3
baseline,33213,Operator_06,Z03,Operator_06,120.0,405.1499999999991,507.86666666666514,285.1499999999991,24,24.0,1
baseline,33186,Operator_02,Z03,Operator_02,60.0,406.6499999999991,530.3333333333313,346.6499999999991,24,24.0,3
baseline,33191,Operator_14,Z03,Operator_14,60.0,433.51666666666546,515.749999999998,373.51666666666546,14,14.0,2
baseline,33200,Operator_17,Z04,Operator_17,60.0,441.01666666666546,544.8333333333313,381.01666666666546,22,22.0,2
baseline,33187,Operator_19,Z03,Operator_19,60.0,480.7999999999982,613.4666666666626,420.7999999999982,24,24.0,3
baseline,33215,Operator_06,Z03,Operator_06,120.0,507.86666666666514,624.6666666666639,387.86666666666514,24,24.0,2
baseline,33195,Operator_14,Z04,Operator_14,60.0,515.749999999998,637.1833333333306,455.74999999999795,24,24.0,3
baseline,33189,Operator_02,Z03,Operator_02,60.0,530.3333333333313,634.1833333333306,470.3333333333313,24,24.0,3
baseline,33208,Operator_17,Z03,Operator_17,120.0,544.8333333333313,667.833333333329,424.8333333333313,24,24.0,3
baseline,33197,Operator_19,Z04,Operator_19,60.0,613.4666666666626,736.6499999999957,553.4666666666626,24,24.0,3
baseline,33193,Operator_02,Z03,Operator_02,60.0,634.1833333333306,761.3833333333283,574.1833333333306,24,24.0,3
baseline,33204,Operator_14,Z03,Operator_14,60.0,637.1833333333306,764.3833333333283,577.1833333333306,24,24.0,3
baseline,33217,Operator_17,Z03,Operator_17,120.0,667.833333333329,770.3833333333283,547.833333333329,20,20.0,2
baseline,33203,Operator_19,Z03,Operator_19,60.0,736.6499999999957,859.0999999999937,676.6499999999957,24,24.0,3
baseline,33205,Operator_02,Z03,Operator_02,60.0,761.3833333333283,873.5666666666596,701.3833333333283,24,24.0,3
baseline,33209,Operator_14,Z03,Operator_14,120.0,764.3833333333283,876.8166666666601,644.3833333333283,24,24.0,3
baseline,33211,Operator_19,Z03,Operator_19,120.0,859.0999999999937,956.6833333333265,739.0999999999937,24,24.0,1
baseline,33212,Operator_02,Z03,Operator_02,120.0,873.5666666666596,989.6166666666596,753.5666666666596,24,24.0,2
baseline,33214,Operator_14,Z03,Operator_14,120.0,876.8166666666601,990.6166666666596,756.8166666666601,24,24.0,2
baseline,33220,Operator_18,Z03,Operator_18,14400.0,14400.0,14502.649999999969,0.0,19,19.0,2
baseline,33221,Operator_02,Z03,Operator_02,14400.0,14400.0,14517.433333333309,0.0,24,24.0,3
baseline,33222,Operator_19,Z03,Operator_19,14400.0,14400.0,14520.433333333309,0.0,24,24.0,3
baseline,33226,Operator_17,Z03,Operator_17,14400.0,14400.0,14516.683333333309,0.0,24,24.0,2
baseline,33229,Operator_14,Z03,Operator_14,14400.0,14400.0,14513.683333333309,0.0,24,24.0,2
baseline,33228,Operator_18,Z02,Operator_18,14400.0,14502.649999999969,14616.049999999948,102.64999999996871,24,24.0,2
baseline,33233,Operator_14,Z03,Operator_14,14400.0,14513.683333333309,14638.433333333283,113.68333333330884,24,24.0,3
baseline,33227,Operator_17,Z03,Operator_17,14400.0,14516.683333333309,14636.933333333283,116.68333333330884,24,24.0,2
baseline,33225,Operator_02,Z03,Operator_02,14400.0,14517.433333333309,14644.433333333283,117.43333333330884,24,24.0,3
baseline,33223,Operator_19,Z03,Operator_19,14400.0,14520.433333333309,14633.549999999948,120.43333333330884,24,24.0,2
baseline,33230,Operator_18,Z02,Operator_18,14400.0,14616.049999999948,14724.849999999922,216.04999999994834,24,24.0,2
baseline,33231,Operator_19,Z03,Operator_19,14400.0,14633.549999999948,14738.383333333262,233.54999999994834,24,24.0,2
baseline,33237,Operator_14,Z03,Operator_14,14400.0,14638.433333333283,14756.416666666591,238.43333333328337,24,24.0,3
baseline,33234,Operator_02,Z03,Operator_02,14400.0,14644.433333333283,14765.43333333325,244.43333333328337,24,24.0,3
baseline,33235,Operator_18,Z03,Operator_18,14400.0,14724.849999999922,14849.849999999886,324.84999999992215,24,24.0,3
baseline,33232,Operator_19,Z03,Operator_19,14400.0,14738.383333333262,14851.649999999907,338.38333333326227,24,24.0,2
baseline,33240,Operator_14,Z03,Operator_14,14400.0,14756.416666666591,14856.149999999907,356.4166666665915,24,24.0,1
baseline,33238,Operator_02,Z03,Operator_02,14400.0,14765.43333333325,14900.283333333213,365.43333333325063,26,26.0,3
baseline,33239,Operator_18,Z03,Operator_18,14400.0,14849.849999999886,14956.04999999989,449.84999999988577,24,24.0,3
baseline,33236,Operator_19,Z03,Operator_19,14400.0,14851.649999999907,14979.283333333202,451.64999999990687,24,24.0,3
baseline,33242,Operator_14,Z04,Operator_14,14400.0,14856.149999999907,14980.783333333202,456.14999999990687,24,24.0,3
baseline,33245,Operator_02,Z03,Operator_02,14400.0,14900.283333333213,15003.349999999882,500.2833333332128,22,22.0,3
baseline,33244,Operator_18,Z03,Operator_18,14400.0,14956.04999999989,15054.316666666547,556.0499999998901,24,24.0,2
baseline,33241,Operator_19,Z04,Operator_19,14400.0,14979.283333333202,15099.216666666518,579.2833333332019,24,24.0,3
baseline,33247,Operator_14,Z03,Operator_14,14400.0,14980.783333333202,15091.716666666518,580.7833333332019,24,24.0,3
baseline,33248,Operator_02,Z03,Operator_02,14400.0,15003.349999999882,15112.366666666509,603.3499999998821,24,24.0,3
baseline,33246,Operator_18,Z03,Operator_18,14400.0,15054.316666666547,15184.933333333172,654.3166666665475,24,24.0,3
baseline,33251,Operator_14,Z03,Operator_14,14400.0,15091.716666666518,15193.933333333172,691.716666666518,24,24.0,2
baseline,33243,Operator_19,Z03,Operator_19,14400.0,15099.216666666518,15223.149999999823,699.216666666518,24,24.0,3
baseline,33250,Operator_02,Z03,Operator_02,14400.0,15112.366666666509,15221.649999999823,712.3666666665085,24,24.0,3
baseline,33252,Operator_18,Z03,Operator_18,14400.0,15184.933333333172,15300.833333333154,784.9333333331724,24,24.0,2
baseline,33253,Operator_02,Z03,Operator_02,14400.0,15221.649999999823,15331.49999999982,821.6499999998232,24,24.0,1
baseline,33249,Operator_19,Z03,Operator_19,14400.0,15223.149999999823,15347.49999999982,823.1499999998232,24,24.0,2
baseline,33257,Operator_18,Z03,Operator_18,14400.0,15300.833333333154,15404.53333333314,900.8333333331539,24,24.0,3
baseline,33254,Operator_02,Z03,Operator_02,14400.0,15331.49999999982,15439.749999999802,931.4999999998199,24,24.0,3
baseline,33262,Operator_19,Z04,Operator_19,14400.0,15347.49999999982,15433.483333333117,947.4999999998199,12,12.0,3
baseline,33259,Operator_18,Z03,Operator_18,14400.0,15404.53333333314,15521.366666666447,1004.53333333314,24,24.0,3
baseline,33255,Operator_02,Z03,Operator_02,14400.0,15439.749999999802,15539.966666666458,1039.7499999998017,24,24.0,1
baseline,33256,Operator_02,Z03,Operator_02,14400.0,15539.966666666458,15643.949999999777,1139.966666666458,24,24.0,3
baseline,33258,Operator_02,Z03,Operator_02,14400.0,15643.949999999777,15738.066666666431,1243.949999999777,21,21.0,3
random,33168,Operator_02,Z03,RANDOM:Z03:W01,0.0,0.0,143.1000000000004,0.0,24,24.0,3
random,33169,Operator_08,Z03,RANDOM:Z03:W02,0.0,0.0,118.2833333333336,0.0,24,24.0,3
random,33173,Operator_14,Z02,RANDOM:Z02:W01,0.0,0.0,103.73333333333348,0.0,24,24.0,2
random,33174,Operator_17,Z02,RANDOM:Z02:W02,0.0,0.0,92.63333333333352,0.0,24,24.0,1
random,33175,Operator_14,Z04,RANDOM:Z04:W01,0.0,0.0,116.7833333333336,0.0,24,24.0,3
random,33176,Operator_19,Z04,RANDOM:Z04:W02,0.0,0.0,129.8333333333335,0.0,24,24.0,2
random,33177,Operator_08,Z04,RANDOM:Z04:W03,0.0,0.0,127.8333333333335,0.0,24,24.0,2
random,33179,Operator_02,Z02,RANDOM:Z02:W03,60.0,60.0,182.85,0.0,24,24.0,3
random,33195,Operator_14,Z04,RANDOM:Z04:W01,60.0,116.7833333333336,246.26666666666668,56.7833333333336,24,24.0,3
random,33170,Operator_08,Z03,RANDOM:Z03:W02,0.0,118.2833333333336,241.16666666666666,118.2833333333336,23,23.0,2
random,33196,Operator_17,Z04,RANDOM:Z04:W03,60.0,127.8333333333335,252.76666666666668,67.8333333333335,24,24.0,3
random,33197,Operator_19,Z04,RANDOM:Z04:W02,60.0,129.8333333333335,254.98333333333326,69.83333333333351,24,24.0,3
random,33171,Operator_04,Z03,RANDOM:Z03:W01,0.0,143.1000000000004,260.98333333333323,143.1000000000004,24,24.0,2
random,33172,Operator_19,Z03,RANDOM:Z03:W02,0.0,241.16666666666666,358.58333333333223,241.16666666666666,24,24.0,3
random,33198,Operator_18,Z04,RANDOM:Z04:W01,60.0,246.26666666666668,359.33333333333223,186.26666666666668,24,24.0,2
random,33199,Operator_04,Z04,RANDOM:Z04:W03,60.0,252.76666666666668,371.33333333333223,192.76666666666668,24,24.0,2
