microzone_id,support_label,macro_zone_id,side,corridor_index,y_anchor_m,pick_tasks,task_share,pick_units,unit_share,overall_task_entropy_normalized,overall_unit_entropy_normalized
M01,LC-08,Z01,left,8,16.0274,70.0,0.03507014028056112,70.0,0.03507014028056112,0.8862673283675069,0.8862673283675069
M02,LC-09,Z01,left,9,19.0754,61.0,0.030561122244488977,61.0,0.030561122244488977,0.8862673283675069,0.8862673283675069
M03,LC-10,Z01,left,10,21.3614,148.0,0.07414829659318638,148.0,0.07414829659318638,0.8862673283675069,0.8862673283675069
M04,LC-11,Z01,left,11,23.647399999999998,165.0,0.08266533066132264,165.0,0.08266533066132264,0.8862673283675069,0.8862673283675069
M05,LC-12,Z01,left,12,25.9334,240.0,0.12024048096192384,240.0,0.12024048096192384,0.8862673283675069,0.8862673283675069
M06,LC-13,Z02,left,13,28.2194,122.0,0.061122244488977955,122.0,0.061122244488977955,0.8862673283675069,0.8862673283675069
M07,LC-14,Z02,left,14,30.505399999999998,136.0,0.06813627254509018,136.0,0.06813627254509018,0.8862673283675069,0.8862673283675069
M08,LC-15,Z02,left,15,32.791399999999996,108.0,0.05410821643286573,108.0,0.05410821643286573,0.8862673283675069,0.8862673283675069
M09,LC-16,Z02,left,16,35.0774,42.0,0.021042084168336674,42.0,0.021042084168336674,0.8862673283675069,0.8862673283675069
M10,LC-17,Z02,left,17,37.3634,1.0,0.000501002004008016,1.0,0.000501002004008016,0.8862673283675069,0.8862673283675069
M11,RC-08,Z03,right,8,16.0274,45.0,0.022545090180360723,45.0,0.022545090180360723,0.8862673283675069,0.8862673283675069
M12,RC-09,Z03,right,9,19.0754,111.0,0.05561122244488978,111.0,0.05561122244488978,0.8862673283675069,0.8862673283675069
M13,RC-10,Z03,right,10,21.3614,129.0,0.06462925851703406,129.0,0.06462925851703406,0.8862673283675069,0.8862673283675069
M14,RC-11,Z03,right,11,23.647399999999998,39.0,0.019539078156312624,39.0,0.019539078156312624,0.8862673283675069,0.8862673283675069
M15,RC-12,Z03,right,12,25.9334,32.0,0.01603206412825651,32.0,0.01603206412825651,0.8862673283675069,0.8862673283675069
M16,RC-13,Z04,right,13,28.2194,387.0,0.1938877755511022,387.0,0.1938877755511022,0.8862673283675069,0.8862673283675069
M17,RC-14,Z04,right,14,30.505399999999998,71.0,0.03557114228456914,71.0,0.03557114228456914,0.8862673283675069,0.8862673283675069
M18,RC-15,Z04,right,15,32.791399999999996,45.0,0.022545090180360723,45.0,0.022545090180360723,0.8862673283675069,0.8862673283675069
M19,RC-16,Z04,right,16,35.0774,39.0,0.019539078156312624,39.0,0.019539078156312624,0.8862673283675069,0.8862673283675069
M20,RC-17,Z04,right,17,37.3634,5.0,0.00250501002004008,5.0,0.00250501002004008,0.8862673283675069,0.8862673283675069
