method,operator,zone_id,distance_m,picked_units,movement_events,pick_events,congestion_conflicts,congestion_wait_seconds
random,RANDOM:Z02:W01,Z02,82.23999999999995,48.0,244,48,3,3.0666666666656965
random,RANDOM:Z02:W02,Z02,67.19999999999995,48.0,210,48,2,3.0
random,RANDOM:Z02:W03,Z02,59.93999999999996,24.0,188,24,2,0.8999999999995936
random,RANDOM:Z03:W01,Z03,1716.8000000001014,778.0,5176,778,47,62.783333333323604
random,RANDOM:Z03:W02,Z03,1713.340000000091,800.0,5068,800,49,61.33333333331117
random,RANDOM:Z04:W01,Z04,265.3199999999999,108.0,734,108,20,27.233333333333377
random,RANDOM:Z04:W02,Z04,190.82000000000005,94.0,504,94,29,41.750000000006935
random,RANDOM:Z04:W03,Z04,196.85999999999996,96.0,578,96,22,47.316666666665874
equal,EQUAL:Z02:W01,Z02,82.23999999999995,48.0,244,48,4,3.2166666666657306
equal,EQUAL:Z02:W02,Z02,67.19999999999995,48.0,210,48,2,3.0
equal,EQUAL:Z02:W03,Z02,59.93999999999996,24.0,188,24,3,1.7999999999997556
equal,EQUAL:Z03:W01,Z03,1119.4199999999796,492.0,3428,492,46,56.016666666726735
equal,EQUAL:Z03:W02,Z03,1149.679999999985,539.0,3408,539,45,60.216666666692106
equal,EQUAL:Z03:W03,Z03,1161.0399999999872,547.0,3408,547,50,54.05000000001016
equal,EQUAL:Z04:W01,Z04,332.0600000000019,144.0,912,144,17,17.533333333347315
equal,EQUAL:Z04:W02,Z04,320.9400000000019,154.0,904,154,14,18.516666666676755
volume_proportional,VOLUME_PROPORTIONAL:Z02:W01,Z02,209.37999999999988,120.0,642,120,9,9.949999999990055
volume_proportional,VOLUME_PROPORTIONAL:Z03:W01,Z03,562.9400000000024,261.0,1604,261,53,74.34999999999253
volume_proportional,VOLUME_PROPORTIONAL:Z03:W02,Z03,533.4000000000049,240.0,1598,240,60,63.45000000000927
volume_proportional,VOLUME_PROPORTIONAL:Z03:W03,Z03,606.5199999999998,289.0,1750,289,55,66.21666666668135
volume_proportional,VOLUME_PROPORTIONAL:Z03:W04,Z03,561.2200000000039,252.0,1696,252,47,56.63333333334495
volume_proportional,VOLUME_PROPORTIONAL:Z03:W05,Z03,584.8400000000016,284.0,1754,284,38,51.00000000000935
volume_proportional,VOLUME_PROPORTIONAL:Z03:W06,Z03,581.220000000005,252.0,1842,252,40,50.933333333390934
volume_proportional,VOLUME_PROPORTIONAL:Z04:W01,Z04,652.9999999999934,298.0,1816,298,22,13.883333333356731
