method,zone_id,aisle_count,aisle_y_min_m,aisle_y_max_m,assigned_lists,assigned_list_tasks,assigned_list_units,cross_zone_lists,physical_pick_tasks,physical_pick_units,allocation_workload,allocation_workload_share,workers,worker_share
random,Z01,5,-0.29,3.31,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0
random,Z02,4,4.21,7.51,5,120,120.0,4,287,287.0,120.0,0.06012024048096192,3,0.375
random,Z03,4,8.41,11.11,67,1578,1578.0,61,1262,1262.0,1578.0,0.7905811623246493,2,0.25
random,Z04,4,12.01,14.71,13,298,298.0,13,447,447.0,298.0,0.1492985971943888,3,0.375
equal,Z01,5,-0.29,3.31,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0
equal,Z02,4,4.21,7.51,5,120,120.0,4,287,287.0,120.0,0.06012024048096192,3,0.375
equal,Z03,4,8.41,11.11,67,1578,1578.0,61,1262,1262.0,1578.0,0.7905811623246493,3,0.375
equal,Z04,4,12.01,14.71,13,298,298.0,13,447,447.0,298.0,0.1492985971943888,2,0.25
volume_proportional,Z01,5,-0.29,3.31,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0
volume_proportional,Z02,4,4.21,7.51,5,120,120.0,4,287,287.0,120.0,0.06012024048096192,1,0.125
volume_proportional,Z03,4,8.41,11.11,67,1578,1578.0,61,1262,1262.0,1578.0,0.7905811623246493,6,0.75
volume_proportional,Z04,4,12.01,14.71,13,298,298.0,13,447,447.0,298.0,0.1492985971943888,1,0.125
