entropy_weight,allocation_id,zone_id,aisle_count,workload,workload_share,workers,worker_share
0.0,A001,Z01,5,822.0,0.4118236472945892,3,0.375
0.0,A001,Z02,5,417.0,0.20891783567134267,2,0.25
0.0,A001,Z03,5,254.0,0.12725450901803606,1,0.125
0.0,A001,Z04,5,503.0,0.25200400801603207,2,0.25
0.05,A001,Z01,5,822.0,0.4118236472945892,3,0.375
0.05,A001,Z02,5,417.0,0.20891783567134267,2,0.25
0.05,A001,Z03,5,254.0,0.12725450901803606,1,0.125
0.05,A001,Z04,5,503.0,0.25200400801603207,2,0.25
0.1,A001,Z01,5,822.0,0.4118236472945892,3,0.375
0.1,A001,Z02,5,417.0,0.20891783567134267,2,0.25
0.1,A001,Z03,5,254.0,0.12725450901803606,1,0.125
0.1,A001,Z04,5,503.0,0.25200400801603207,2,0.25
0.25,A001,Z01,5,822.0,0.4118236472945892,3,0.375
0.25,A001,Z02,5,417.0,0.20891783567134267,2,0.25
0.25,A001,Z03,5,254.0,0.12725450901803606,1,0.125
0.25,A001,Z04,5,503.0,0.25200400801603207,2,0.25
0.5,A002,Z01,5,822.0,0.4118236472945892,3,0.375
0.5,A002,Z02,5,417.0,0.20891783567134267,2,0.25
0.5,A002,Z03,5,254.0,0.12725450901803606,2,0.25
0.5,A002,Z04,5,503.0,0.25200400801603207,1,0.125
0.75,A002,Z01,5,822.0,0.4118236472945892,3,0.375
0.75,A002,Z02,5,417.0,0.20891783567134267,2,0.25
0.75,A002,Z03,5,254.0,0.12725450901803606,2,0.25
0.75,A002,Z04,5,503.0,0.25200400801603207,1,0.125
1.0,A002,Z01,5,822.0,0.4118236472945892,3,0.375
1.0,A002,Z02,5,417.0,0.20891783567134267,2,0.25
1.0,A002,Z03,5,254.0,0.12725450901803606,2,0.25
1.0,A002,Z04,5,503.0,0.25200400801603207,1,0.125
2.0,A002,Z01,5,822.0,0.4118236472945892,3,0.375
2.0,A002,Z02,5,417.0,0.20891783567134267,2,0.25
2.0,A002,Z03,5,254.0,0.12725450901803606,2,0.25
2.0,A002,Z04,5,503.0,0.25200400801603207,1,0.125
4.0,A002,Z01,5,822.0,0.4118236472945892,3,0.375
4.0,A002,Z02,5,417.0,0.20891783567134267,2,0.25
4.0,A002,Z03,5,254.0,0.12725450901803606,2,0.25
4.0,A002,Z04,5,503.0,0.25200400801603207,1,0.125
8.0,A002,Z01,5,822.0,0.4118236472945892,3,0.375
8.0,A002,Z02,5,417.0,0.20891783567134267,2,0.25
8.0,A002,Z03,5,254.0,0.12725450901803606,2,0.25
8.0,A002,Z04,5,503.0,0.25200400801603207,1,0.125
