cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,entropy_weight,allocation_id
EDGE:AISLE:x=10.236200:y=16.027400<->AISLE:x=9.347200:y=16.027400,edge,38,8,28.15166666666586,28.15166666666586,0.0,0.0,28.15166666666586,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=19.075400<->AISLE:x=9.347200:y=19.075400,edge,36,8,26.669999999998765,26.669999999998765,0.0,0.0,26.669999999998765,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=21.361400<->AISLE:x=9.347200:y=21.361400,edge,85,8,62.970833333330866,62.970833333330866,0.0,0.0,62.970833333330866,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=23.647400<->AISLE:x=9.347200:y=23.647400,edge,68,8,50.37666666666453,50.37666666666453,0.0,0.0,50.37666666666453,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=25.933400<->AISLE:x=9.347200:y=25.933400,edge,88,8,65.19333333333012,65.19333333333012,0.0,0.0,65.19333333333012,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=28.219400<->AISLE:x=9.347200:y=28.219400,edge,57,8,42.227499999998315,42.227499999998315,0.0,0.0,42.227499999998315,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=30.505400<->AISLE:x=9.347200:y=30.505400,edge,80,8,59.26666666666435,59.26666666666435,0.0,0.0,59.26666666666435,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=32.791400<->AISLE:x=9.347200:y=32.791400,edge,73,8,54.08083333333091,54.08083333333091,0.0,0.0,54.08083333333091,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=32.791400<->SUP:CC-15,edge,1,1,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,7.105427357601002e-15,0.0,1,0.0,A001
EDGE:AISLE:x=10.236200:y=35.077400<->AISLE:x=9.347200:y=35.077400,edge,49,8,36.30083333333181,36.30083333333181,0.0,0.0,36.30083333333181,0.0,1,0.0,A001
