selected_date,picking_lists,pick_tasks,picked_units,observed_workers,effective_workers,active_zones,eligible,reason,split
2023-01-05,85,1996,1996.0,8,8,4,True,eligible,calibration
2023-01-06,65,1422,1422.0,8,8,4,True,eligible,calibration
2023-01-09,55,1181,1181.0,7,7,4,True,eligible,calibration
2023-01-10,66,1324,1324.0,8,8,4,True,eligible,calibration
2023-01-11,22,396,396.0,8,8,4,True,eligible,calibration
2023-01-12,76,1565,1565.0,10,10,4,True,eligible,calibration
2023-01-13,25,497,497.0,8,8,4,True,eligible,calibration
2023-01-16,27,558,558.0,7,7,4,True,eligible,calibration
2023-01-17,37,783,783.0,7,7,4,True,eligible,calibration
2023-01-18,75,1630,1630.0,7,7,4,True,eligible,calibration
2023-01-19,8,117,117.0,4,4,4,False,too_few_lists,ineligible
2023-01-20,13,213,213.0,4,4,2,False,too_few_lists,ineligible
2023-01-23,22,445,445.0,6,6,4,True,eligible,calibration
2023-01-24,25,451,451.0,6,6,4,True,eligible,calibration
2023-01-25,36,700,700.0,5,5,4,True,eligible,calibration
2023-01-26,34,706,706.0,5,5,4,True,eligible,calibration
2023-01-27,10,225,225.0,5,5,4,False,too_few_lists,ineligible
2023-01-30,36,723,723.0,7,7,3,True,eligible,calibration
2023-01-31,32,575,575.0,6,6,3,True,eligible,calibration
2023-02-01,1,2,2.0,1,1,1,False,too_few_lists,ineligible
2023-02-02,35,726,726.0,4,4,4,True,eligible,calibration
2023-02-03,9,156,156.0,4,4,3,False,too_few_lists,ineligible
2023-02-06,46,995,995.0,5,5,4,True,eligible,calibration
2023-02-07,34,632,632.0,8,8,4,True,eligible,calibration
2023-02-08,36,700,700.0,7,7,4,True,eligible,calibration
2023-02-09,54,1120,1120.0,5,5,4,True,eligible,calibration
2023-02-10,15,249,249.0,5,5,3,False,too_few_lists,ineligible
2023-02-13,35,643,643.0,8,8,4,True,eligible,calibration
2023-02-14,27,471,471.0,5,5,4,True,eligible,calibration
2023-02-15,17,305,305.0,3,3,2,False,too_few_lists,ineligible
2023-02-16,38,742,742.0,9,9,4,True,eligible,calibration
2023-02-21,74,1609,1609.0,7,7,4,True,eligible,calibration
2023-02-22,44,897,897.0,8,8,4,True,eligible,calibration
2023-02-23,57,1232,1232.0,7,7,4,True,eligible,calibration
2023-02-24,17,281,281.0,7,7,3,False,too_few_lists,ineligible
2023-02-27,30,610,610.0,7,7,3,True,eligible,calibration
2023-02-28,31,598,598.0,8,8,4,True,eligible,calibration
2023-03-01,4,49,49.0,3,3,3,False,too_few_lists,ineligible
2023-03-02,100,2273,2273.0,6,6,4,True,eligible,calibration
2023-03-03,31,676,676.0,6,6,4,True,eligible,calibration
2023-03-06,51,1132,1132.0,5,5,4,True,eligible,calibration
2023-03-07,16,308,308.0,6,6,4,False,too_few_lists,ineligible
2023-03-08,21,450,450.0,6,6,4,True,eligible,calibration
2023-03-09,32,696,696.0,6,6,4,True,eligible,calibration
2023-03-10,3,43,43.0,3,3,2,False,too_few_lists,ineligible
2023-03-12,18,391,391.0,2,2,3,False,too_few_lists,ineligible
2023-03-14,67,1557,1557.0,6,6,4,True,eligible,calibration
2023-03-15,6,115,115.0,4,4,4,False,too_few_lists,ineligible
2023-03-16,62,1427,1427.0,5,5,4,True,eligible,calibration
2023-03-17,87,2088,2088.0,7,7,3,True,eligible,calibration
2023-03-22,200,4657,4657.0,6,6,4,True,eligible,calibration
2023-03-27,26,606,606.0,6,6,2,True,eligible,calibration
2023-03-28,4,59,59.0,3,3,2,False,too_few_lists,ineligible
2023-03-29,109,2518,2518.0,9,9,4,True,eligible,calibration
2023-04-03,90,1896,1896.0,10,10,4,True,eligible,calibration
2023-04-04,35,723,723.0,7,7,4,True,eligible,calibration
2023-04-05,18,329,329.0,6,6,3,False,too_few_lists,ineligible
2023-04-06,22,453,453.0,8,8,3,True,eligible,calibration
2023-04-11,29,674,674.0,7,7,4,True,eligible,calibration
2023-04-13,90,2042,2042.0,8,8,4,True,eligible,calibration
2023-04-17,87,1980,1980.0,8,8,4,True,eligible,calibration
2023-04-18,20,415,415.0,6,6,3,True,eligible,calibration
2023-04-19,53,1130,1130.0,8,8,3,True,eligible,calibration
2023-04-20,35,724,724.0,5,5,4,True,eligible,calibration
2023-04-21,17,290,290.0,7,7,4,False,too_few_lists,ineligible
2023-04-24,48,989,989.0,7,7,4,True,eligible,calibration
2023-04-25,26,571,571.0,6,6,3,True,eligible,calibration
2023-04-26,37,769,769.0,7,7,4,True,eligible,calibration
2023-04-27,7,126,126.0,5,5,3,False,too_few_lists,ineligible
2023-04-28,12,232,232.0,6,6,4,False,too_few_lists,ineligible
2023-05-01,36,681,681.0,8,8,3,True,eligible,calibration
2023-05-02,17,346,346.0,6,6,3,False,too_few_lists,ineligible
2023-05-03,45,951,951.0,8,8,4,True,eligible,calibration
2023-05-04,101,2179,2179.0,9,9,4,True,eligible,calibration
2023-05-05,29,575,575.0,7,7,4,True,eligible,calibration
2023-05-08,82,1965,1965.0,6,6,4,True,eligible,calibration
2023-05-09,54,1228,1228.0,7,7,4,True,eligible,calibration
2023-05-11,50,1171,1171.0,8,8,4,True,eligible,calibration
2023-05-12,10,205,205.0,6,6,2,False,too_few_lists,ineligible
2023-05-15,42,964,964.0,8,8,3,True,eligible,calibration
2023-05-16,64,1338,1338.0,9,9,4,True,eligible,calibration
2023-05-18,50,1134,1134.0,6,6,4,True,eligible,calibration
2023-05-19,53,1231,1231.0,6,6,3,True,eligible,calibration
2023-05-23,66,1495,1495.0,8,8,4,True,eligible,calibration
2023-05-25,67,1564,1564.0,9,9,4,True,eligible,calibration
2023-05-26,34,777,777.0,8,8,4,True,eligible,calibration
2023-05-29,46,1054,1054.0,10,10,4,True,eligible,calibration
2023-05-30,69,1552,1552.0,8,8,4,True,eligible,calibration
2023-05-31,47,1003,1003.0,9,9,4,True,eligible,calibration
2023-06-01,22,436,436.0,6,6,3,True,eligible,calibration
2023-06-02,6,101,101.0,5,5,3,False,too_few_lists,ineligible
2023-06-05,65,1373,1373.0,8,8,4,True,eligible,calibration
2023-06-06,33,646,646.0,8,8,4,True,eligible,calibration
2023-06-07,47,1027,1027.0,8,8,4,True,eligible,calibration
2023-06-08,6,94,94.0,5,5,3,False,too_few_lists,ineligible
2023-06-09,28,600,600.0,8,8,4,True,eligible,calibration
2023-06-12,49,1121,1121.0,7,7,4,True,eligible,calibration
2023-06-13,24,506,506.0,7,7,3,True,eligible,calibration
2023-06-14,72,1560,1560.0,8,8,4,True,eligible,calibration
2023-06-15,21,398,398.0,5,5,4,True,eligible,calibration
2023-06-16,8,117,117.0,5,5,4,False,too_few_lists,ineligible
2023-06-19,53,1141,1141.0,10,10,4,True,eligible,calibration
2023-06-20,16,368,368.0,4,4,4,False,too_few_lists,ineligible
2023-06-21,25,521,521.0,7,7,4,True,eligible,calibration
2023-06-22,22,450,450.0,7,7,4,True,eligible,calibration
2023-06-26,91,1907,1907.0,9,9,4,True,eligible,calibration
2023-06-27,71,1529,1529.0,9,9,4,True,eligible,calibration
2023-06-28,21,404,404.0,9,9,3,True,eligible,calibration
2023-06-29,8,141,141.0,5,5,2,False,too_few_lists,ineligible
2023-07-03,52,1163,1163.0,9,9,4,True,eligible,calibration
2023-07-04,27,520,520.0,7,7,4,True,eligible,calibration
2023-07-06,94,2031,2031.0,10,10,4,True,eligible,calibration
2023-07-07,8,153,153.0,7,7,3,False,too_few_lists,ineligible
2023-07-10,38,837,837.0,6,6,3,True,eligible,calibration
2023-07-11,64,1343,1343.0,6,6,4,True,eligible,calibration
2023-07-12,29,562,562.0,5,5,4,True,eligible,calibration
2023-07-13,7,109,109.0,5,5,3,False,too_few_lists,ineligible
2023-07-17,70,1588,1588.0,6,6,4,True,eligible,calibration
2023-07-18,70,1625,1625.0,5,5,4,True,eligible,calibration
2023-07-19,39,872,872.0,5,5,3,True,eligible,holdout
2023-07-20,16,299,299.0,5,5,4,False,too_few_lists,ineligible
2023-07-24,44,937,937.0,7,7,4,True,eligible,holdout
2023-07-25,31,662,662.0,5,5,4,True,eligible,holdout
2023-07-26,24,422,422.0,7,7,4,True,eligible,holdout
2023-07-27,27,540,540.0,6,6,3,True,eligible,holdout
2023-07-28,31,618,618.0,10,10,4,True,eligible,holdout
2023-07-31,27,515,515.0,7,7,4,True,eligible,holdout
2023-08-01,19,344,344.0,8,8,4,False,too_few_lists,ineligible
2023-08-02,7,99,99.0,3,3,3,False,too_few_lists,ineligible
2023-08-03,25,482,482.0,6,6,3,True,eligible,holdout
2023-08-04,10,208,208.0,3,3,3,False,too_few_lists,ineligible
2023-08-07,69,1557,1557.0,8,8,4,True,eligible,holdout
2023-08-08,25,557,557.0,7,7,3,True,eligible,holdout
2023-08-09,14,284,284.0,7,7,3,False,too_few_lists,ineligible
2023-08-10,27,606,606.0,8,8,3,True,eligible,holdout
2023-08-13,51,1130,1130.0,6,6,4,True,eligible,holdout
2023-08-15,44,1017,1017.0,5,5,4,True,eligible,holdout
2023-08-16,38,853,853.0,6,6,2,True,eligible,holdout
2023-08-17,48,1126,1126.0,5,5,4,True,eligible,holdout
2023-08-18,1,12,12.0,1,1,1,False,too_few_lists,ineligible
2023-08-21,1,18,18.0,1,1,1,False,too_few_lists,ineligible
2023-08-22,191,4459,4459.0,7,7,4,True,eligible,holdout
2023-08-23,6,150,150.0,2,2,2,False,too_few_lists,ineligible
2023-08-24,120,2771,2771.0,7,7,4,True,eligible,holdout
2023-08-28,101,2322,2322.0,8,8,4,True,eligible,holdout
2023-08-29,27,577,577.0,6,6,3,True,eligible,holdout
2023-08-30,50,1139,1139.0,6,6,4,True,eligible,holdout
2023-08-31,67,1550,1550.0,5,5,3,True,eligible,holdout
2023-09-01,46,1001,1001.0,5,5,4,True,eligible,holdout
2023-09-05,58,1309,1309.0,6,6,4,True,eligible,holdout
2023-09-06,9,214,214.0,3,3,3,False,too_few_lists,ineligible
2023-09-07,33,715,715.0,6,6,4,True,eligible,holdout
2023-09-08,18,363,363.0,4,4,4,False,too_few_lists,ineligible
2023-09-10,39,968,968.0,7,7,2,True,eligible,holdout
2023-09-12,86,2021,2021.0,7,7,4,True,eligible,holdout
2023-09-13,52,1196,1196.0,6,6,4,True,eligible,holdout
2023-09-17,50,1245,1245.0,5,5,2,True,eligible,holdout
2023-09-18,1,24,24.0,1,1,1,False,too_few_lists,ineligible
2023-09-19,115,2639,2639.0,7,7,4,True,eligible,holdout
2023-09-21,75,1735,1735.0,6,6,4,True,eligible,holdout
2023-09-25,84,1986,1986.0,7,7,4,True,eligible,holdout
2023-09-26,6,121,121.0,3,3,3,False,too_few_lists,ineligible
2023-09-29,4,78,78.0,3,3,2,False,too_few_lists,ineligible
2023-10-02,185,4365,4365.0,7,7,4,True,eligible,holdout
2023-10-03,6,134,134.0,2,2,4,False,too_few_lists,ineligible
2023-10-04,4,58,58.0,4,4,3,False,too_few_lists,ineligible
2023-10-05,100,2308,2308.0,7,7,4,True,eligible,holdout
2023-10-06,55,1247,1247.0,6,6,4,True,eligible,holdout
