method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds,entropy_weight,allocation_id
entropy_based,edge,AISLE:x=0.860000:y=9.310000<->SUP:LC-11,2,2,0.13333333333005726,0.06666666666502863,0.09999999999672582,0.0,A001
entropy_based,edge,AISLE:x=1.020000:y=11.110000<->AISLE:x=1.180000:y=11.110000,1,1,0.03333333333273458,0.03333333333273458,0.03333333333273458,0.0,A001
entropy_based,edge,AISLE:x=1.020000:y=9.310000<->AISLE:x=1.180000:y=9.310000,1,1,0.03333333333318933,0.03333333333318933,0.03333333333318933,0.0,A001
entropy_based,edge,AISLE:x=2.520000:y=10.210000<->AISLE:x=2.680000:y=10.210000,2,2,0.1499999999996362,0.0749999999998181,0.13333333333321207,0.0,A001
entropy_based,edge,AISLE:x=2.680000:y=6.310000<->AISLE:x=2.860000:y=6.310000,1,1,0.03333333333330302,0.03333333333330302,0.03333333333330302,0.0,A001
entropy_based,edge,AISLE:x=2.860000:y=10.210000<->AISLE:x=3.020000:y=10.210000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207,0.0,A001
entropy_based,edge,AISLE:x=3.180000:y=10.210000<->AISLE:x=3.360000:y=10.210000,1,1,0.016666666666424135,0.016666666666424135,0.016666666666424135,0.0,A001
entropy_based,edge,AISLE:x=3.360000:y=10.210000<->AISLE:x=3.520000:y=10.210000,1,1,0.06666666666671972,0.06666666666671972,0.06666666666671972,0.0,A001
entropy_based,edge,AISLE:x=3.520000:y=10.210000<->AISLE:x=3.680000:y=10.210000,1,1,0.016666666657329188,0.016666666657329188,0.016666666657329188,0.0,A001
entropy_based,edge,AISLE:x=3.680000:y=10.210000<->AISLE:x=4.030000:y=10.210000,2,2,0.11666666665951198,0.05833333332975599,0.10000000000218279,0.0,A001
entropy_based,edge,AISLE:x=3.680000:y=12.010000<->AISLE:x=4.030000:y=12.010000,3,3,0.40833333333597466,0.13611111111199156,0.28333333333307564,0.0,A001
entropy_based,edge,AISLE:x=3.680000:y=13.810000<->AISLE:x=4.030000:y=13.810000,1,1,0.0750000000000739,0.0750000000000739,0.0750000000000739,0.0,A001
entropy_based,edge,AISLE:x=3.680000:y=8.410000<->AISLE:x=4.030000:y=8.410000,1,1,0.16666666666662877,0.16666666666662877,0.16666666666662877,0.0,A001
entropy_based,edge,AISLE:x=3.680000:y=9.310000<->AISLE:x=4.030000:y=9.310000,1,1,0.06666666666205856,0.06666666666205856,0.06666666666205856,0.0,A001
entropy_based,edge,AISLE:x=4.340000:y=11.110000<->SUP:CC-13,1,1,0.133333333345945,0.133333333345945,0.133333333345945,0.0,A001
entropy_based,edge,AISLE:x=4.340000:y=7.510000<->SUP:CC-09,1,1,0.125,0.125,0.125,0.0,A001
entropy_based,edge,AISLE:x=4.340000:y=8.410000<->AISLE:x=4.500000:y=8.410000,1,1,0.050000000026557245,0.050000000026557245,0.050000000026557245,0.0,A001
entropy_based,edge,AISLE:x=4.500000:y=7.510000<->AISLE:x=4.660000:y=7.510000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207,0.0,A001
entropy_based,edge,AISLE:x=4.500000:y=8.410000<->AISLE:x=4.660000:y=8.410000,1,1,0.0166666666658557,0.0166666666658557,0.0166666666658557,0.0,A001
entropy_based,edge,AISLE:x=4.660000:y=11.110000<->AISLE:x=4.840000:y=11.110000,1,1,0.08333333332120674,0.08333333332120674,0.08333333332120674,0.0,A001
entropy_based,edge,AISLE:x=4.660000:y=12.010000<->AISLE:x=4.840000:y=12.010000,1,1,0.11666666666684478,0.11666666666684478,0.11666666666684478,0.0,A001
entropy_based,edge,AISLE:x=4.840000:y=7.510000<->AISLE:x=5.000000:y=7.510000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207,0.0,A001
entropy_based,edge,AISLE:x=5.840000:y=11.110000<->AISLE:x=6.000000:y=11.110000,1,1,0.11666666666133096,0.11666666666133096,0.11666666666133096,0.0,A001
entropy_based,edge,AISLE:x=6.000000:y=11.110000<->AISLE:x=6.160000:y=11.110000,1,1,0.03333333333250721,0.03333333333250721,0.03333333333250721,0.0,A001
entropy_based,edge,AISLE:x=6.340000:y=11.110000<->AISLE:x=6.500000:y=11.110000,1,1,0.13333333333332575,0.13333333333332575,0.13333333333332575,0.0,A001
entropy_based,edge,SUP:CC-01<->SUP:CC-02,30,8,51.75000000000023,1.7250000000000076,5.25,0.0,A001
entropy_based,edge,SUP:CC-02<->SUP:CC-03,8,6,4.749999999988063,0.5937499999985079,1.0,0.0,A001
entropy_based,edge,SUP:CC-03<->SUP:CC-04,4,2,1.800000000009348,0.450000000002337,0.550000000000253,0.0,A001
entropy_based,edge,SUP:CC-04<->SUP:CC-05,13,7,5.54999999996366,0.42692307692028153,0.75,0.0,A001
entropy_based,edge,SUP:CC-05<->SUP:CC-06,13,4,6.383333333329318,0.4910256410253322,0.75,0.0,A001
entropy_based,edge,SUP:CC-06<->SUP:CC-07,8,4,2.5500000000156433,0.3187500000019554,0.5,0.0,A001
entropy_based,edge,SUP:CC-07<->SUP:CC-08,31,8,23.383333333355054,0.7543010752695178,1.75,0.0,A001
entropy_based,edge,SUP:CC-08<->SUP:CC-09,20,7,8.59999999999252,0.42999999999962596,1.2999999999992724,0.0,A001
entropy_based,edge,SUP:CC-09<->SUP:CC-10,11,6,3.2833333333341272,0.2984848484849207,0.7333333333335759,0.0,A001
entropy_based,edge,SUP:CC-10<->SUP:CC-11,16,6,6.316666666692441,0.3947916666682776,0.75,0.0,A001
entropy_based,edge,SUP:CC-11<->SUP:CC-12,6,3,3.0500000000085343,0.5083333333347557,0.733333333332439,0.0,A001
entropy_based,edge,SUP:CC-12<->SUP:CC-13,10,5,3.3583333333514815,0.33583333333514814,0.716666666666697,0.0,A001
entropy_based,edge,SUP:CC-13<->SUP:CC-14,9,6,2.733333333355283,0.3037037037061425,0.6000000000003638,0.0,A001
entropy_based,edge,SUP:CC-14<->SUP:CC-15,10,7,3.733333333350558,0.3733333333350558,0.6666666666664014,0.0,A001
entropy_based,edge,SUP:CC-15<->SUP:CC-16,2,2,0.5333333333339283,0.26666666666696415,0.46666666666664014,0.0,A001
entropy_based,edge,SUP:LC-10<->SUP:LC-11,1,1,0.5833333333333428,0.5833333333333428,0.5833333333333428,0.0,A001
entropy_based,edge,SUP:LC-11<->SUP:LC-12,1,1,0.36666666666668846,0.36666666666668846,0.36666666666668846,0.0,A001
entropy_based,pick_node,AISLE:x=1.020000:y=9.310000,1,1,2.5333333333346673,2.5333333333346673,2.5333333333346673,0.0,A001
entropy_based,pick_node,AISLE:x=1.680000:y=10.210000,8,2,21.300000000008367,2.662500000001046,3.0,0.0,A001
entropy_based,pick_node,AISLE:x=2.360000:y=11.110000,1,1,2.4833333333333556,2.4833333333333556,2.4833333333333556,0.0,A001
entropy_based,pick_node,AISLE:x=2.360000:y=9.310000,1,1,2.116666666661331,2.116666666661331,2.116666666661331,0.0,A001
