method,wave_number,original_operator,assigned_zone,assigned_worker,released_at_seconds,started_at_seconds,finished_at_seconds,release_delay_seconds,pick_tasks,pick_units,physical_zone_count,entropy_weight,allocation_id
entropy_based,33168,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W01,0.0,0.0,141.8500000000004,0.0,24,24.0,3,0.0,A001
entropy_based,33169,Operator_08,Z03,ENTROPY_LAMBDA_0:Z03:W02,0.0,0.0,118.16666666666679,0.0,24,24.0,3,0.0,A001
entropy_based,33170,Operator_08,Z03,ENTROPY_LAMBDA_0:Z03:W03,0.0,0.0,128.26666666666708,0.0,23,23.0,2,0.0,A001
entropy_based,33171,Operator_04,Z03,ENTROPY_LAMBDA_0:Z03:W04,0.0,0.0,121.71666666666704,0.0,24,24.0,2,0.0,A001
entropy_based,33172,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W05,0.0,0.0,123.21666666666704,0.0,24,24.0,3,0.0,A001
entropy_based,33173,Operator_14,Z02,ENTROPY_LAMBDA_0:Z02:W01,0.0,0.0,104.10000000000016,0.0,24,24.0,2,0.0,A001
entropy_based,33175,Operator_14,Z04,ENTROPY_LAMBDA_0:Z04:W01,0.0,0.0,116.66666666666679,0.0,24,24.0,3,0.0,A001
entropy_based,33178,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W06,0.0,0.0,99.21666666666668,0.0,17,17.0,3,0.0,A001
entropy_based,33180,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W06,60.0,99.21666666666668,220.23333333333343,39.21666666666668,24,24.0,3,0.0,A001
entropy_based,33174,Operator_17,Z02,ENTROPY_LAMBDA_0:Z02:W01,0.0,104.10000000000016,199.73333333333343,104.10000000000016,24,24.0,1,0.0,A001
entropy_based,33176,Operator_19,Z04,ENTROPY_LAMBDA_0:Z04:W01,0.0,116.66666666666679,218.73333333333343,116.66666666666679,24,24.0,2,0.0,A001
entropy_based,33181,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W02,60.0,118.16666666666679,245.71666666666653,58.166666666666785,24,24.0,3,0.0,A001
entropy_based,33182,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W04,60.0,121.71666666666704,265.2166666666665,61.71666666666704,24,24.0,3,0.0,A001
entropy_based,33183,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W05,60.0,123.21666666666704,262.2166666666665,63.21666666666704,24,24.0,3,0.0,A001
entropy_based,33184,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W03,60.0,128.26666666666708,254.71666666666653,68.26666666666708,24,24.0,3,0.0,A001
entropy_based,33185,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W01,60.0,141.8500000000004,262.9666666666665,81.85000000000039,24,24.0,3,0.0,A001
entropy_based,33179,Operator_02,Z02,ENTROPY_LAMBDA_0:Z02:W01,60.0,199.73333333333343,321.8,139.73333333333343,24,24.0,3,0.0,A001
entropy_based,33177,Operator_08,Z04,ENTROPY_LAMBDA_0:Z04:W01,0.0,218.73333333333343,315.8,218.73333333333343,24,24.0,2,0.0,A001
entropy_based,33186,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W06,60.0,220.23333333333343,337.3999999999991,160.23333333333343,24,24.0,3,0.0,A001
entropy_based,33187,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W02,60.0,245.71666666666653,378.18333333333186,185.71666666666653,24,24.0,3,0.0,A001
entropy_based,33188,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W03,60.0,254.71666666666653,357.3999999999991,194.71666666666653,24,24.0,2,0.0,A001
entropy_based,33189,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W05,60.0,262.2166666666665,366.8166666666663,202.21666666666653,24,24.0,3,0.0,A001
entropy_based,33190,Operator_06,Z03,ENTROPY_LAMBDA_0:Z03:W01,60.0,262.9666666666665,382.86666666666525,202.96666666666653,24,24.0,2,0.0,A001
entropy_based,33191,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W04,60.0,265.2166666666665,348.3999999999991,205.21666666666653,14,14.0,2,0.0,A001
entropy_based,33195,Operator_14,Z04,ENTROPY_LAMBDA_0:Z04:W01,60.0,315.8,438.06666666666564,255.8,24,24.0,3,0.0,A001
entropy_based,33192,Operator_04,Z03,ENTROPY_LAMBDA_0:Z03:W06,60.0,337.3999999999991,469.78333333333177,277.3999999999991,24,24.0,3,0.0,A001
entropy_based,33193,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W04,60.0,348.3999999999991,474.28333333333177,288.3999999999991,24,24.0,3,0.0,A001
entropy_based,33203,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W03,60.0,357.3999999999991,491.0166666666642,297.3999999999991,24,24.0,3,0.0,A001
entropy_based,33204,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W05,60.0,366.8166666666663,494.0166666666642,306.8166666666663,24,24.0,3,0.0,A001
entropy_based,33205,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W02,60.0,378.18333333333186,492.5166666666642,318.18333333333186,24,24.0,3,0.0,A001
entropy_based,33208,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W01,120.0,382.86666666666525,515.2499999999973,262.86666666666525,24,24.0,3,0.0,A001
entropy_based,33196,Operator_17,Z04,ENTROPY_LAMBDA_0:Z04:W01,60.0,438.06666666666564,558.249999999997,378.06666666666564,24,24.0,3,0.0,A001
entropy_based,33209,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W06,120.0,469.78333333333177,601.0499999999971,349.78333333333177,24,24.0,3,0.0,A001
entropy_based,33210,Operator_06,Z03,ENTROPY_LAMBDA_0:Z03:W04,120.0,474.28333333333177,604.0499999999971,354.28333333333177,24,24.0,1,0.0,A001
entropy_based,33211,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W03,120.0,491.0166666666642,591.5999999999971,371.0166666666642,24,24.0,1,0.0,A001
entropy_based,33212,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W02,120.0,492.5166666666642,605.5499999999971,372.5166666666642,24,24.0,2,0.0,A001
entropy_based,33213,Operator_06,Z03,ENTROPY_LAMBDA_0:Z03:W05,120.0,494.0166666666642,596.5499999999971,374.0166666666642,24,24.0,1,0.0,A001
entropy_based,33214,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W01,120.0,515.2499999999973,620.4499999999967,395.24999999999727,24,24.0,2,0.0,A001
entropy_based,33197,Operator_19,Z04,ENTROPY_LAMBDA_0:Z04:W01,60.0,558.249999999997,678.8333333333292,498.24999999999704,24,24.0,3,0.0,A001
entropy_based,33215,Operator_06,Z03,ENTROPY_LAMBDA_0:Z03:W03,120.0,591.5999999999971,706.9166666666625,471.59999999999707,24,24.0,2,0.0,A001
entropy_based,33217,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W05,120.0,596.5499999999971,696.433333333329,476.5499999999971,20,20.0,2,0.0,A001
entropy_based,33198,Operator_18,Z04,ENTROPY_LAMBDA_0:Z04:W01,60.0,678.8333333333292,784.0166666666614,618.8333333333292,24,24.0,2,0.0,A001
entropy_based,33199,Operator_04,Z04,ENTROPY_LAMBDA_0:Z04:W01,60.0,784.0166666666614,894.8499999999935,724.0166666666614,24,24.0,2,0.0,A001
entropy_based,33200,Operator_17,Z04,ENTROPY_LAMBDA_0:Z04:W01,60.0,894.8499999999935,998.3666666666591,834.8499999999935,22,22.0,2,0.0,A001
entropy_based,33207,Operator_06,Z04,ENTROPY_LAMBDA_0:Z04:W01,120.0,998.3666666666591,1116.249999999999,878.3666666666591,24,24.0,3,0.0,A001
entropy_based,33220,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W06,14400.0,14400.0,14504.833333333307,0.0,19,19.0,2,0.0,A001
entropy_based,33221,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W04,14400.0,14400.0,14519.833333333307,0.0,24,24.0,3,0.0,A001
entropy_based,33222,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W02,14400.0,14400.0,14525.833333333307,0.0,24,24.0,3,0.0,A001
entropy_based,33223,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W01,14400.0,14400.0,14520.583333333307,0.0,24,24.0,2,0.0,A001
entropy_based,33225,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W05,14400.0,14400.0,14539.566666666626,0.0,24,24.0,3,0.0,A001
entropy_based,33226,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W03,14400.0,14400.0,14524.333333333307,0.0,24,24.0,2,0.0,A001
entropy_based,33228,Operator_18,Z02,ENTROPY_LAMBDA_0:Z02:W01,14400.0,14400.0,14510.833333333307,0.0,24,24.0,2,0.0,A001
entropy_based,33241,Operator_19,Z04,ENTROPY_LAMBDA_0:Z04:W01,14400.0,14400.0,14522.833333333307,0.0,24,24.0,3,0.0,A001
entropy_based,33227,Operator_17,Z03,ENTROPY_LAMBDA_0:Z03:W06,14400.0,14504.833333333307,14621.13333333327,104.83333333330665,24,24.0,2,0.0,A001
entropy_based,33230,Operator_18,Z02,ENTROPY_LAMBDA_0:Z02:W01,14400.0,14510.833333333307,14622.63333333327,110.83333333330665,24,24.0,2,0.0,A001
entropy_based,33229,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W04,14400.0,14519.833333333307,14631.099999999937,119.83333333330665,24,24.0,2,0.0,A001
entropy_based,33231,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W01,14400.0,14520.583333333307,14646.53333333329,120.58333333330665,24,24.0,2,0.0,A001
entropy_based,33242,Operator_14,Z04,ENTROPY_LAMBDA_0:Z04:W01,14400.0,14522.833333333307,14648.066666666611,122.83333333330665,24,24.0,3,0.0,A001
entropy_based,33232,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W03,14400.0,14524.333333333307,14652.566666666611,124.33333333330665,24,24.0,2,0.0,A001
entropy_based,33233,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W02,14400.0,14525.833333333307,14653.316666666611,125.83333333330665,24,24.0,3,0.0,A001
entropy_based,33234,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W05,14400.0,14539.566666666626,14660.816666666611,139.56666666662568,24,24.0,3,0.0,A001
entropy_based,33235,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W06,14400.0,14621.13333333327,14747.299999999936,221.13333333326955,24,24.0,3,0.0,A001
entropy_based,33236,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W04,14400.0,14631.099999999937,14759.799999999936,231.0999999999367,24,24.0,3,0.0,A001
entropy_based,33237,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W01,14400.0,14646.53333333329,14768.066666666598,246.5333333332892,24,24.0,3,0.0,A001
entropy_based,33262,Operator_19,Z04,ENTROPY_LAMBDA_0:Z04:W01,14400.0,14648.066666666611,14735.79999999992,248.06666666661113,12,12.0,3,0.0,A001
entropy_based,33238,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W03,14400.0,14652.566666666611,14794.749999999925,252.56666666661113,26,26.0,3,0.0,A001
entropy_based,33239,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W02,14400.0,14653.316666666611,14764.683333333256,253.31666666661113,24,24.0,3,0.0,A001
entropy_based,33240,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W05,14400.0,14660.816666666611,14758.299999999936,260.8166666666111,24,24.0,1,0.0,A001
entropy_based,33243,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W06,14400.0,14747.299999999936,14872.349999999913,347.2999999999356,24,24.0,3,0.0,A001
entropy_based,33244,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W05,14400.0,14758.299999999936,14854.183333333256,358.2999999999356,24,24.0,2,0.0,A001
entropy_based,33245,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W04,14400.0,14759.799999999936,14863.183333333256,359.7999999999356,22,22.0,3,0.0,A001
entropy_based,33246,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W02,14400.0,14764.683333333256,14900.083333333247,364.6833333332561,24,24.0,3,0.0,A001
entropy_based,33247,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W01,14400.0,14768.066666666598,14879.849999999913,368.0666666665984,24,24.0,3,0.0,A001
entropy_based,33248,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W03,14400.0,14794.749999999925,14906.266666666574,394.7499999999254,24,24.0,3,0.0,A001
entropy_based,33249,Operator_19,Z03,ENTROPY_LAMBDA_0:Z03:W05,14400.0,14854.183333333256,14980.18333333323,454.1833333332561,24,24.0,2,0.0,A001
entropy_based,33250,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W04,14400.0,14863.183333333256,14973.68333333323,463.1833333332561,24,24.0,3,0.0,A001
entropy_based,33251,Operator_14,Z03,ENTROPY_LAMBDA_0:Z03:W06,14400.0,14872.349999999913,14975.18333333323,472.34999999991305,24,24.0,2,0.0,A001
entropy_based,33252,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W01,14400.0,14879.849999999913,15008.28333333323,479.84999999991305,24,24.0,2,0.0,A001
entropy_based,33253,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W02,14400.0,14900.083333333247,15022.39999999989,500.0833333332466,24,24.0,1,0.0,A001
entropy_based,33254,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W03,14400.0,14906.266666666574,15014.89999999989,506.26666666657366,24,24.0,3,0.0,A001
entropy_based,33255,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W04,14400.0,14973.68333333323,15076.266666666552,573.6833333332306,24,24.0,1,0.0,A001
entropy_based,33256,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W06,14400.0,14975.18333333323,15090.233333333215,575.1833333332306,24,24.0,3,0.0,A001
entropy_based,33257,Operator_18,Z03,ENTROPY_LAMBDA_0:Z03:W05,14400.0,14980.18333333323,15093.933333333212,580.1833333332306,24,24.0,3,0.0,A001
entropy_based,33258,Operator_02,Z03,ENTROPY_LAMBDA_0:Z03:W01,14400.0,15008.28333333323,15106.016666666545,608.2833333332292,21,21.0,3,0.0,A001
