cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,entropy_weight,allocation_id
EDGE:AISLE:x=0.860000:y=10.210000<->AISLE:x=1.020000:y=10.210000,edge,22,7,2.9333333333321434,2.9333333333321434,0.0,0.0,2.9333333333321434,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=10.210000<->SUP:LC-12,edge,22,7,3.6666666666612286,3.6666666666612286,0.0,0.0,3.6666666666612286,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=11.110000<->AISLE:x=1.020000:y=11.110000,edge,23,8,3.0666666666656397,3.0666666666656397,0.0,0.0,3.0666666666656397,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=11.110000<->SUP:LC-13,edge,25,8,4.16666666666066,4.16666666666066,0.0,0.0,4.16666666666066,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=12.010000<->AISLE:x=1.020000:y=12.010000,edge,24,6,3.19999999999915,3.19999999999915,0.0,0.0,3.19999999999915,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=12.010000<->SUP:LC-14,edge,20,6,3.3333333333303443,3.3333333333303443,0.0,0.0,3.3333333333303443,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=12.910000<->AISLE:x=1.020000:y=12.910000,edge,21,8,2.7999999999992866,2.7999999999992866,0.0,0.0,2.7999999999992866,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=12.910000<->SUP:LC-15,edge,21,8,3.4999999999964047,3.4999999999964047,0.0,0.0,3.4999999999964047,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=13.810000<->AISLE:x=1.020000:y=13.810000,edge,11,4,1.4666666666662422,1.4666666666662422,0.0,0.0,1.4666666666662422,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=13.810000<->SUP:LC-16,edge,11,4,1.8333333333314954,1.8333333333314954,0.0,0.0,1.8333333333314954,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=6.310000<->AISLE:x=1.020000:y=6.310000,edge,8,5,1.0666666666666202,1.0666666666666202,0.0,0.0,1.0666666666666202,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=6.310000<->SUP:LC-08,edge,6,4,0.9999999999989626,0.9999999999989626,0.0,0.0,0.9999999999989626,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=7.510000<->AISLE:x=1.020000:y=7.510000,edge,12,8,1.5999999999986585,1.5999999999986585,0.0,0.0,1.5999999999986585,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=7.510000<->SUP:LC-09,edge,14,8,2.333333333326692,2.333333333326692,0.0,0.0,2.333333333326692,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=8.410000<->AISLE:x=1.020000:y=8.410000,edge,19,7,2.533333333332635,2.533333333332635,0.0,0.0,2.533333333332635,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=8.410000<->SUP:LC-10,edge,21,7,3.49999999999595,3.49999999999595,0.0,0.0,3.49999999999595,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=9.310000<->AISLE:x=1.020000:y=9.310000,edge,36,8,4.799999999997652,4.799999999997652,0.0,0.0,4.799999999997652,0.0,1,0.0,A001
EDGE:AISLE:x=0.860000:y=9.310000<->SUP:LC-11,edge,38,8,6.333333333320695,6.333333333320695,0.0,0.0,6.333333333320695,0.0,1,0.0,A001
