selected_date,zone_id,workload,workload_share,baseline_dominant_zone_workers,baseline_distinct_operators_touching_zone,random_workers,equal_workers,volume_proportional_workers,entropy_based_workers,entropy_weight
2023-07-19,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-19,Z02,164.0,0.18807339449541285,1,4,2,2,1,1,0.05
2023-07-19,Z03,490.0,0.5619266055045872,2,4,1,2,3,3,0.05
2023-07-19,Z04,218.0,0.25,2,4,2,1,1,1,0.05
2023-07-24,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-24,Z02,488.0,0.5208110992529349,4,7,3,3,4,4,0.05
2023-07-24,Z03,321.0,0.3425827107790822,2,5,2,2,2,2,0.05
2023-07-24,Z04,128.0,0.13660618996798293,1,5,2,2,1,1,0.05
2023-07-25,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-25,Z02,343.0,0.5181268882175226,2,3,2,2,2,2,0.05
2023-07-25,Z03,252.0,0.3806646525679758,2,5,1,2,2,2,0.05
2023-07-25,Z04,67.0,0.10120845921450151,1,3,2,1,1,1,0.05
2023-07-26,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-26,Z02,99.0,0.23459715639810427,1,5,3,3,2,2,0.05
2023-07-26,Z03,209.0,0.495260663507109,4,6,2,2,3,3,0.05
2023-07-26,Z04,114.0,0.27014218009478674,2,5,2,2,2,2,0.05
2023-07-27,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-27,Z02,488.0,0.9037037037037037,6,6,3,2,4,4,0.05
2023-07-27,Z03,39.0,0.07222222222222222,0,2,1,2,1,1,0.05
2023-07-27,Z04,13.0,0.024074074074074074,0,1,2,2,1,1,0.05
2023-07-28,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-28,Z02,81.0,0.13106796116504854,2,5,4,4,1,2,0.05
2023-07-28,Z03,399.0,0.6456310679611651,7,9,3,3,7,6,0.05
2023-07-28,Z04,138.0,0.22330097087378642,1,4,3,3,2,2,0.05
2023-07-31,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-07-31,Z02,123.0,0.23883495145631067,2,5,3,3,2,2,0.05
2023-07-31,Z03,338.0,0.6563106796116505,4,7,2,2,4,4,0.05
2023-07-31,Z04,54.0,0.10485436893203884,1,3,2,2,1,1,0.05
2023-08-03,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-03,Z02,179.0,0.37136929460580914,3,5,3,2,2,2,0.05
2023-08-03,Z03,263.0,0.5456431535269709,3,5,1,2,3,3,0.05
2023-08-03,Z04,40.0,0.08298755186721991,0,1,2,2,1,1,0.05
2023-08-07,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-07,Z02,388.0,0.2491971740526654,2,7,3,3,2,2,0.05
2023-08-07,Z03,1051.0,0.6750160565189467,6,7,2,3,5,5,0.05
2023-08-07,Z04,118.0,0.07578676942838793,0,3,3,2,1,1,0.05
2023-08-08,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-08,Z02,256.0,0.45960502692998206,4,5,3,3,3,3,0.05
2023-08-08,Z03,263.0,0.47217235188509876,3,6,2,2,3,3,0.05
2023-08-08,Z04,38.0,0.06822262118491922,0,2,2,2,1,1,0.05
2023-08-10,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-10,Z02,127.0,0.20957095709570958,1,3,3,3,2,2,0.05
2023-08-10,Z03,388.0,0.6402640264026402,7,7,2,3,5,5,0.05
2023-08-10,Z04,91.0,0.15016501650165018,0,3,3,2,1,1,0.05
2023-08-13,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-13,Z02,448.0,0.39646017699115044,2,5,3,2,2,2,0.05
2023-08-13,Z03,608.0,0.5380530973451327,4,6,1,2,3,3,0.05
2023-08-13,Z04,74.0,0.06548672566371681,0,2,2,2,1,1,0.05
2023-08-15,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-15,Z02,400.0,0.39331366764995085,1,3,2,2,2,2,0.05
2023-08-15,Z03,500.0,0.4916420845624385,2,3,1,2,2,2,0.05
2023-08-15,Z04,117.0,0.11504424778761062,2,3,2,1,1,1,0.05
2023-08-16,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-16,Z02,380.0,0.4454865181711606,2,4,4,3,3,3,0.05
2023-08-16,Z03,473.0,0.5545134818288394,4,5,2,3,3,3,0.05
2023-08-16,Z04,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-17,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-17,Z02,564.0,0.5008880994671403,3,5,2,2,2,2,0.05
2023-08-17,Z03,489.0,0.4342806394316163,2,5,1,2,2,2,0.05
2023-08-17,Z04,73.0,0.06483126110124333,0,2,2,1,1,1,0.05
2023-08-22,Z01,0.0,0.0,0,0,0,0,0,0,0.05
2023-08-22,Z02,1089.0,0.24422516259250954,1,7,3,3,2,2,0.05
2023-08-22,Z03,2261.0,0.5070643642072213,5,7,2,2,3,3,0.05
2023-08-22,Z04,1109.0,0.24871047320026912,1,7,2,2,2,2,0.05
