selected_date,method,entropy_weight,worker_counts,entropy_reused_from,observed_workers,effective_workers,seed,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
2023-07-19,baseline,,,,5,5,,5,4,3,,,39,872,872.0,1614.0800000000074,4318,1345.0666666667155,33,17,16,53.84999999999877,1.6318181818181445,3.0,3.0,0.03849407279442207,463.41282051282053,1333.5666666666973,566.359401709403,1563.2000000000396,313,0.7872378873915057,0.989580155636712,0.0,1.0,0.4988817891373802,0.02729528535980149,547,47.53333333333347,2,1563.2000000000396
2023-07-19,random,,0|2|1|2,,5,5,42.0,5,4,3,0.7609640474436812,0.36192660550458716,39,872,872.0,1614.0799999999845,4318,1345.0666666667105,30,28,2,16.566666666668397,0.5522222222222799,1.9125000000000005,3.0,0.012166760508214039,551.4072649572694,1887.4500000000542,653.3978632478688,2095.0166666667237,420,0.30378675305549624,0.9968002834633469,0.0,1.0,0.7848412698412699,0.0037546933667083854,552,5.300000000000011,3,2095.0166666667237
2023-07-19,equal,,0|2|2|1,,5,5,42.0,5,4,3,0.7609640474436812,0.21192660550458714,39,872,872.0,1614.0800000000124,4318,1345.066666666678,72,32,40,135.75000000000063,1.8854166666666754,3.0,3.0,0.09167238798410755,364.4136752136736,961.6999999999971,469.4602564102551,1169.266666666676,234,0.9571178327884772,0.9737633603152333,0.0,1.0,0.3436609686609687,0.05961070559610705,550,118.44999999999982,3,1169.266666666676
2023-07-19,volume_proportional,,0|1|3|1,,5,5,42.0,5,4,3,0.6854752972273344,0.049999999999999975,39,872,872.0,1614.0800000000097,4318,1345.0666666666493,105,43,62,197.9499999999994,1.8852380952380894,3.0,4.316666666667061,0.12828766161523533,320.54401709401554,930.5166666666642,427.18547008546807,1157.516666666671,232,0.7250707897578543,0.9612367041361268,0.0,1.0,0.4672413793103448,0.09221556886227544,551,180.94999999999965,3,1157.516666666671
2023-07-19,entropy_based,0.05,0|1|3|1,volume_proportional,5,5,42.0,5,4,3,0.6854752972273344,0.049999999999999975,39,872,872.0,1614.0800000000097,4318,1345.0666666666493,105,43,62,197.9499999999994,1.8852380952380894,3.0,4.316666666667061,0.12828766161523533,320.54401709401554,930.5166666666642,427.18547008546807,1157.516666666671,232,0.7250707897578543,0.9612367041361268,0.0,1.0,0.4672413793103448,0.09221556886227544,551,180.94999999999965,3,1157.516666666671
2023-07-24,baseline,,,,7,7,,7,4,3,,,44,937,937.0,2054.300000000012,6074,1711.9166666665178,88,74,14,64.73333333335017,0.735606060606252,2.367083333344568,3.166666666666856,0.03643561384254354,203.25681818181582,755.1833333333251,307.52159090908555,15755.299999999981,274,0.73858401041487,0.9871805797740213,0.0,1.0,0.47433958985053876,0.021621621621621623,577,27.47500000003504,4,15755.299999999981
2023-07-24,random,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.1491080957463028,44,937,937.0,2054.30000000001,6074,1711.916666666507,135,96,39,145.00000000003087,1.0740740740743027,3.0,4.5,0.07808643360411485,164.7359848484832,607.5833333333281,270.82499999999544,15652.16666666666,210,0.8448722256979905,0.974852568113066,0.0,1.0,0.3540702947845805,0.051118210862619806,582,91.05833333337495,6,15652.16666666666
2023-07-24,equal,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.1491080957463028,44,937,937.0,2054.30000000001,6074,1711.916666666507,135,96,39,145.00000000003087,1.0740740740743027,3.0,4.5,0.07808643360411485,164.7359848484832,607.5833333333281,270.82499999999544,15652.16666666666,210,0.8448722256979905,0.974852568113066,0.0,1.0,0.3540702947845805,0.051118210862619806,582,91.05833333337495,6,15652.16666666666
2023-07-24,volume_proportional,,0|4|2|1,,7,7,42.0,7,4,3,0.6893917467430879,0.05686842506479646,44,937,937.0,2054.3000000000084,6074,1711.916666666508,122,91,31,125.65000000002729,1.029918032787109,3.0,4.5,0.06837847152939736,144.97537878787736,606.6166666666611,250.6246212121168,15652.16666666666,210,0.8405795563290264,0.9806761490505308,0.0,1.0,0.37807256235827663,0.03636363636363636,579,73.35833333337311,6,15652.16666666666
2023-07-24,entropy_based,0.05,0|4|2|1,volume_proportional,7,7,42.0,7,4,3,0.6893917467430879,0.05686842506479646,44,937,937.0,2054.3000000000084,6074,1711.916666666508,122,91,31,125.65000000002729,1.029918032787109,3.0,4.5,0.06837847152939736,144.97537878787736,606.6166666666611,250.6246212121168,15652.16666666666,210,0.8405795563290264,0.9806761490505308,0.0,1.0,0.37807256235827663,0.03636363636363636,579,73.35833333337311,6,15652.16666666666
