method,metric,n_days,mean,std,median,min,max
baseline,mean_flow_time_seconds,40,794.8151017834584,387.7944467979366,741.761408080843,197.43306944444242,1999.278524324319
baseline,makespan_seconds,40,6994.581995833338,7375.432256337694,3215.5194999999735,1104.0313333333281,24736.51700000019
baseline,congestion_wait_seconds,40,180.9731708333265,184.52978366726722,96.31058333331731,12.712500000002073,819.8853333333597
baseline,congestion_conflicts,40,103.375,91.68415334374296,69.0,14.0,399.0
baseline,congestion_delay_ratio,40,0.05042335956626816,0.05747184952353754,0.033657237147388934,0.007645518192726116,0.27271828697099776
baseline,total_distance_m,40,4635.43015000002,3439.731784914418,3837.2287999999826,1353.870800000001,16158.61640000005
baseline,mean_release_delay_seconds,40,660.065566848228,383.3921640648906,613.7306565656863,74.51475694444366,1854.7291405405367
baseline,mean_spatial_entropy_multiworker,40,0.9836369942720102,0.027762955997191717,0.9928597729785882,0.8355355074804753,1.0
baseline,mean_spatial_entropy_normalized,40,0.7778326427199312,0.12439777249608581,0.7927980417540956,0.31975879569993076,0.974412423872934
random,mean_flow_time_seconds,40,762.6373813816106,451.9014696469368,653.0642457219415,204.56409722222216,2289.4883270269984
random,makespan_seconds,40,6854.754491666664,7496.184728126395,2875.2261666666573,690.1096666666605,24046.443666666753
random,congestion_wait_seconds,40,304.6008291666655,424.6888769910937,146.65316666664663,16.772000000001114,2016.121000000001
random,congestion_conflicts,40,138.975,132.97204014956853,89.0,16.0,501.0
random,congestion_delay_ratio,40,0.07326597070192284,0.10959611788482977,0.04175223593220146,0.010062405070000197,0.64118916065235
random,total_distance_m,40,4635.430149999979,3439.731784914321,3837.2287999999817,1353.8707999999986,16158.61639999957
random,mean_release_delay_seconds,40,625.8259389339171,449.36644097615704,516.6126738725425,82.02423611111129,2144.552512612586
random,mean_spatial_entropy_multiworker,40,0.9728901569430282,0.046936584027795186,0.989166204853127,0.7346606161044537,0.9986702127659575
random,mean_spatial_entropy_normalized,40,0.8430684791946597,0.18348451087591228,0.910738266753013,0.20869571669863066,0.9918409512794523
random,worker_allocation_entropy_normalized,40,0.8578538736909952,0.1506632511350988,0.9211854965885544,0.4591479170272448,1.0
random,demand_worker_l1_gap,40,0.21792994777780939,0.10390192078177908,0.20954715387705075,0.00324675324675322,0.4673326673326674
equal,mean_flow_time_seconds,40,858.6247115567364,490.2857747476462,863.5801125565715,185.62028472222076,2435.684536036009
equal,makespan_seconds,40,7138.191383333333,7467.231893548191,3326.882583333283,690.1096666666605,24511.137000000148
equal,congestion_wait_seconds,40,244.5967208333425,366.8422604845137,95.64508333333706,16.772000000001114,2016.121000000001
equal,congestion_conflicts,40,116.05,115.85268054621606,71.5,16.0,485.0
equal,congestion_delay_ratio,40,0.06299929284250542,0.1067157204888191,0.03572047408321135,0.010062405070000197,0.64118916065235
equal,total_distance_m,40,4635.430149999988,3439.7317849143187,3837.228800000002,1353.8707999999986,16158.616399999491
equal,mean_release_delay_seconds,40,722.5999246955996,487.6428092232301,726.432812217203,62.461402777777344,2291.178790090066
equal,mean_spatial_entropy_multiworker,40,0.9750778813328278,0.046046985971503335,0.989166204853127,0.7346606161044537,0.9991987412873053
equal,mean_spatial_entropy_normalized,40,0.8007853104100825,0.2063067752813387,0.8672482988383357,0.20869571669863066,0.9941344551063537
equal,worker_allocation_entropy_normalized,40,0.8857231092499969,0.15406556917081593,0.9600559822354628,0.4854752972273344,1.0
equal,demand_worker_l1_gap,40,0.2885957410480969,0.11161683667987479,0.3064276932534194,0.00324675324675322,0.48642403235124204
volume_proportional,mean_flow_time_seconds,40,680.6074166286159,373.00166805501726,638.1843798659895,181.2670416666668,1929.417539639634
volume_proportional,makespan_seconds,40,6510.650037500005,7471.5501333215325,2478.24900000002,576.7809999999951,23851.741666666734
volume_proportional,congestion_wait_seconds,40,345.3414208333364,468.48993544287725,163.43933333337407,16.772000000001114,2119.8533333333476
volume_proportional,congestion_conflicts,40,155.475,138.56517257695762,109.5,16.0,554.0
volume_proportional,congestion_delay_ratio,40,0.08483971413529814,0.11407728353911387,0.0493042639590279,0.010062405070000197,0.64118916065235
volume_proportional,total_distance_m,40,4635.430150000012,3439.731784914409,3837.2287999999817,1353.8707999999986,16158.616399999963
volume_proportional,mean_release_delay_seconds,40,542.996632850021,369.1898333226601,505.2070517948697,58.466708333333614,1784.1670648648615
volume_proportional,mean_spatial_entropy_multiworker,40,0.9657357934103328,0.05464196731901656,0.9873358656070551,0.7346606161044537,0.9986702127659575
volume_proportional,mean_spatial_entropy_normalized,40,0.849216137862259,0.12907744377908287,0.8794010169286552,0.47910834666274876,0.9898472835686061
volume_proportional,worker_allocation_entropy_normalized,40,0.8271881729271708,0.16595408709341555,0.9211854965885544,0.36096404744368116,1.0
volume_proportional,demand_worker_l1_gap,40,0.14091752186438775,0.08226383040741406,0.13726542015305293,0.00324675324675322,0.3292035398230088
entropy_based,mean_flow_time_seconds,40,699.9097814111859,394.7007393306479,646.8142119871783,181.2670416666668,1929.417539639634
entropy_based,makespan_seconds,40,6611.291783333337,7482.441153693213,2478.24900000002,576.7809999999951,24029.529666666895
entropy_based,congestion_wait_seconds,40,306.2705166666716,378.03835921693707,178.8900000000071,16.772000000001114,2016.121000000001
entropy_based,congestion_conflicts,40,148.475,128.75856705378322,105.5,16.0,554.0
entropy_based,congestion_delay_ratio,40,0.07987278706266472,0.10743962793964694,0.050217702542575765,0.010062405070000197,0.64118916065235
entropy_based,total_distance_m,40,4635.430150000008,3439.7317849144038,3837.228799999983,1353.8707999999986,16158.616399999963
entropy_based,mean_release_delay_seconds,40,562.7702301639463,391.52077533968804,505.2070517948697,58.466708333333614,1784.1670648648615
entropy_based,mean_spatial_entropy_multiworker,40,0.9673080554154934,0.05298087449077668,0.9884790232181828,0.7346606161044537,0.9986702127659575
entropy_based,mean_spatial_entropy_normalized,40,0.8285253035462299,0.14861003692118974,0.8594246303599065,0.44552999428949536,0.9898472835686061
entropy_based,worker_allocation_entropy_normalized,40,0.8271317625801728,0.1713927166548452,0.9087130608844216,0.36096404744368116,1.0
entropy_based,demand_worker_l1_gap,40,0.15567050517673228,0.08956124618547394,0.14427317490901306,0.00324675324675322,0.35930082002589553
