comparator,metric,direction,n_days,entropy_mean,comparator_mean,mean_delta_entropy_minus_comparator,mean_improvement_pct,wins,ties,losses,win_rate_excluding_ties,wilcoxon_statistic,wilcoxon_p_value_two_sided,significant_at_0_05
baseline,mean_flow_time_seconds,minimize,40,484.33432113424425,617.1833270179193,-132.8490058836751,22.4748954023154,38,0,2,0.95,34.0,6.775735528208315e-09,True
baseline,makespan_seconds,minimize,40,6050.958958333489,6565.552916666912,-514.593958333423,21.81162354721635,37,1,2,0.9487179487179487,10.0,1.1397785844582907e-07,True
baseline,congestion_wait_seconds,minimize,40,386.75375000001316,151.89250000009866,234.8612499999145,-158.59118639107228,3,0,37,0.075,23.0,1.1641532182693481e-09,True
baseline,congestion_conflicts,minimize,40,180.375,107.95,72.425,-78.86324326866566,3,1,36,0.07692307692307693,23.0,3.027393990791808e-07,True
baseline,total_distance_m,minimize,40,2598.762500000003,2598.7624999999985,4.740741132991389e-12,-2.202787955864119e-13,0,40,0,0.0,326.5,0.3755001324529401,False
baseline,mean_release_delay_seconds,minimize,40,374.6322725379115,511.3453997023427,-136.71312716443123,31.305531732457244,38,0,2,0.95,26.0,1.9444996723905206e-09,True
baseline,mean_spatial_entropy_normalized,maximize,40,0.8651430074194495,0.7702842481279084,0.09485875929154099,16.56739203004772,31,0,9,0.775,136.0,0.00011535796875250526,True
random,mean_flow_time_seconds,minimize,40,484.33432113424425,654.2284289778333,-169.89410784358907,24.349166122499938,39,1,0,1.0,0.0,5.255295360476943e-08,True
random,makespan_seconds,minimize,40,6050.958958333489,6698.370208333553,-647.4112500000641,24.04717684140195,33,6,1,0.9705882352941176,12.0,1.0551976875643734e-06,True
random,congestion_wait_seconds,minimize,40,386.75375000001316,217.7708333333862,168.98291666662695,-113.37105283095879,6,1,33,0.15384615384615385,73.0,9.700929880869484e-06,True
random,congestion_conflicts,minimize,40,180.375,136.1,44.275,-49.51356249825692,3,1,36,0.07692307692307693,36.0,7.773430282710423e-07,True
random,total_distance_m,minimize,40,2598.762500000003,2598.762500000003,2.5579538487363607e-14,-1.7946936695471066e-13,0,40,0,0.0,296.5,0.40666921899046604,False
random,mean_release_delay_seconds,minimize,40,374.6322725379115,547.264008108574,-172.63173557066244,32.87623256621407,39,1,0,1.0,0.0,5.255295360476943e-08,True
random,mean_spatial_entropy_normalized,maximize,40,0.8651430074194495,0.670729693406014,0.19441331401343553,59.02290093301326,25,1,14,0.6410256410256411,174.0,0.0025759033582020297,True
equal,mean_flow_time_seconds,minimize,40,484.33432113424425,568.3065353081604,-83.9722141739162,13.40080179473105,32,8,0,1.0,0.0,7.952884142692727e-07,True
equal,makespan_seconds,minimize,40,6050.958958333489,6295.867500000195,-244.9085416667055,9.79393800029527,24,12,4,0.8571428571428571,34.0,0.00011890609974290849,True
equal,congestion_wait_seconds,minimize,40,386.75375000001316,246.4972916666812,140.25645833333195,-39.62833582625017,6,8,26,0.1875,58.0,0.00011716582923994501,True
equal,congestion_conflicts,minimize,40,180.375,150.15,30.225,-22.955486284514272,4,8,28,0.125,35.5,1.927093669982394e-05,True
equal,total_distance_m,minimize,40,2598.762500000003,2598.762500000005,-1.7081447367672809e-12,-8.495960917254837e-14,0,40,0,0.0,190.5,0.3875838610113864,False
equal,mean_release_delay_seconds,minimize,40,374.6322725379115,460.71722825465093,-86.0849557167394,19.767942859644872,32,8,0,1.0,0.0,7.952884142692727e-07,True
equal,mean_spatial_entropy_normalized,maximize,40,0.8651430074194495,0.8847149802636748,-0.01957197284422539,1.839989351216436,10,8,22,0.3125,148.0,0.030076837259513368,True
volume_proportional,mean_flow_time_seconds,minimize,40,484.33432113424425,484.91197570413686,-0.5776545698926562,0.14140427257137683,2,38,0,1.0,0.0,0.17971249487899976,False
volume_proportional,makespan_seconds,minimize,40,6050.958958333489,6060.953541666824,-9.99458333333456,0.5880377954855976,1,38,1,0.5,1.0,0.6547208460185769,False
volume_proportional,congestion_wait_seconds,minimize,40,386.75375000001316,388.52562500001494,-1.7718750000017898,1.295453826989987,2,38,0,1.0,0.0,0.17971249487899976,False
volume_proportional,congestion_conflicts,minimize,40,180.375,180.95,-0.575,0.4543886065625196,2,38,0,1.0,0.0,0.17971249487899976,False
volume_proportional,total_distance_m,minimize,40,2598.762500000003,2598.7625000000025,5.286437954055146e-13,-1.9708513755652453e-14,0,40,0,0.0,0.0,1.0,False
volume_proportional,mean_release_delay_seconds,minimize,40,374.6322725379115,375.167661395902,-0.5353888579904869,0.19922686026667308,2,38,0,1.0,0.0,0.17971249487899976,False
volume_proportional,mean_spatial_entropy_normalized,maximize,40,0.8651430074194495,0.85559983651071,0.00954317090873937,1.7766310963485723,1,38,1,0.5,1.0,0.6547208460185769,False
